기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,,,,,,,총_생활인구_수
2020,4,A,골목상권,1000950,백제고분로42길,서울특별시 송파구 송파동 85,,,,,,4930469
2020,4,A,골목상권,1000949,백제고분로39길,서울특별시 송파구 석촌동 173-6,,,,,,4339151
2020,4,A,골목상권,1000948,백제고분로34길,서울특별시 송파구 석촌동 235-17 영진빌딩,,,,,,5267902
2020,4,A,골목상권,1000947,백제고분로33길,서울특별시 송파구 석촌동 13-4,,,,,,5669071
2020,4,A,골목상권,1000946,백제고분로32길,서울특별시 송파구 삼전동 180-22,,,,,,4334826
2020,4,A,골목상권,1000945,백제고분로31길,서울특별시 송파구 삼전동 133-11,,,,,,6727255
2020,4,A,골목상권,1000944,백제고분로22길,서울특별시 송파구 삼전동 48-3,,,,,,4257764
2020,4,A,골목상권,1000943,백제고분로21길,서울특별시 송파구 삼전동 7-10,,,,,,5098324
2020,4,A,골목상권,1000942,마천로51길,서울특별시 송파구 마천동 128-12,,,,,,5797973
2020,4,A,골목상권,1000941,동남로20길,서울특별시 송파구 가락동 166-15 대련아파트,,,,,,4877272
2020,4,A,골목상권,1000940,거마로20길,서울특별시 송파구 마천동 119-7,,,,,,5543774
2020,4,A,골목상권,1000939,학동로77길,서울특별시 강남구 청담동 46-5 청담그랑빌,,,,,,3909208
2020,4,A,골목상권,1000938,학동로6길,서울특별시 강남구 논현동 123-1,,,,,,4204012
2020,4,A,골목상권,1000937,학동로56길,서울특별시 강남구 삼성동 1-2,,,,,,6023917
2020,4,A,골목상권,1000936,학동로38길,서울특별시 강남구 논현동 209-5,,,,,,3628839
2020,4,A,골목상권,1000935,테헤란로81길,서울특별시 강남구 삼성동 157-4 바나플 빌딩,,,,,,2394154
2020,4,A,골목상권,1000934,일원로9길,서울특별시 강남구 일원동 687-1,,,,,,3607530
2020,4,A,골목상권,1000933,일원로3길,서울특별시 강남구 일원동 683-1,,,,,,3849639
2020,4,A,골목상권,1000932,영동대로65길,서울특별시 강남구 대치동 983-12 교회,,,,,,4175568
2020,4,A,골목상권,1000931,영동대로112길,서울특별시 강남구 삼성동 107-3 삼성1파출소,,,,,,1648470
2020,4,A,골목상권,1000930,언주로81길,서울특별시 강남구 역삼동 721-27,,,,,,6387206
2020,4,A,골목상권,1000929,압구정로2길,서울특별시 강남구 신사동 505-9,,,,,,3199302
2020,4,A,골목상권,1000928,선릉로18길,서울특별시 강남구 개포동 172-1,,,,,,949507
2020,4,A,골목상권,1000927,선릉로146길,서울특별시 강남구 청담동 1-15 승봉빌딩,,,,,,4187298
2020,4,A,골목상권,1000926,선릉로133길,서울특별시 강남구 논현동 111-28,,,,,,4912092
2020,4,A,골목상권,1000925,선릉로132길,서울특별시 강남구 청담동 40-31,,,,,,6554681
2020,4,A,골목상권,1000924,선릉로121길,서울특별시 강남구 논현동 254-27,,,,,,4779857
2020,4,A,골목상권,1000923,삼성로75길,서울특별시 강남구 대치동 903-25,,,,,,7050002
2020,4,A,골목상권,1000922,삼성로69길,서울특별시 강남구 대치동 913-15,,,,,,6454369
2020,4,A,골목상권,1000921,삼성로64길,서울특별시 강남구 대치동 974 대치현대아파트,,,,,,4055834
2020,4,A,골목상권,1000920,삼성로63길,서울특별시 강남구 대치동 932-39,,,,,,6028388
2020,4,A,골목상권,1000919,삼성로57길,서울특별시 강남구 대치동 1019-19,,,,,,5253750
2020,4,A,골목상권,1000918,삼성로147길,서울특별시 강남구 청담동 7-21,,,,,,3865778
2020,4,A,골목상권,1000917,삼성로115길,서울특별시 강남구 삼성동 24-25 에스엠빌딩,,,,,,3956518
2020,4,A,골목상권,1000916,봉은사로68길,서울특별시 강남구 삼성동 115-1,,,,,,3689705
2020,4,A,골목상권,1000915,봉은사로57길,서울특별시 강남구 삼성동 38-2,,,,,,3582447
2020,4,A,골목상권,1000914,봉은사로43길,서울특별시 강남구 논현동 277-2,,,,,,5650636
2020,4,A,골목상권,1000913,봉은사로29길,서울특별시 강남구 논현동 235-7,,,,,,5949088
2020,4,A,골목상권,1000912,봉은사로109길,서울특별시 강남구 삼성동 109-12 베페하우스,,,,,,1849785
2020,4,A,골목상권,1000911,도산대로89길,서울특별시 강남구 청담동 124-18,,,,,,2788286
2020,4,A,골목상권,1000910,도산대로81길,서울특별시 강남구 청담동 119-9,,,,,,2842170
2020,4,A,골목상권,1000909,도산대로50길,서울특별시 강남구 논현동 93-9,,,,,,4320219
2020,4,A,골목상권,1000908,도산대로38길,서울특별시 강남구 논현동 64-16,,,,,,2293309
2020,4,A,골목상권,1000907,도산대로30길,서울특별시 강남구 논현동 59-6,,,,,,2546282
2020,4,A,골목상권,1000906,도산대로23길,서울특별시 강남구 신사동 561-36,,,,,,3579517
2020,4,A,골목상권,1000905,도산대로15길,서울특별시 강남구 신사동 539 대화빌딩,,,,,,3700107
2020,4,A,골목상권,1000904,도곡로37길,서울특별시 강남구 역삼동 785-20,,,,,,5783167
2020,4,A,골목상권,1000903,논현로8길,서울특별시 강남구 개포동 1192-6,,,,,,2097261
2020,4,A,골목상권,1000902,논현로63길,서울특별시 강남구 역삼동 798-1 더힐,,,,,,4388544
2020,4,A,골목상권,1000901,논현로28길,서울특별시 강남구 도곡동 425-1,,,,,,2753984
2020,4,A,골목상권,1000900,논현로26길,서울특별시 강남구 도곡동 448,,,,,,2813838
2020,4,A,골목상권,1000899,논현로159길,서울특별시 강남구 신사동 566-30,,,,,,3537164
2020,4,A,골목상권,1000898,논현로139길,서울특별시 강남구 논현동 34-14,,,,,,3593599
2020,4,A,골목상권,1000897,논현로123길,서울특별시 강남구 논현동 130-26,,,,,,3847955
2020,4,A,골목상권,1000896,논현로115길,서울특별시 강남구 논현동 175-30 다원빌딩,,,,,,6142013
2020,4,A,골목상권,1000895,논현로10길,서울특별시 강남구 개포동 1192-1,,,,,,3248849
2020,4,A,골목상권,1000894,논현로106길,서울특별시 강남구 역삼동 659-11,,,,,,4041107
2020,4,A,골목상권,1000893,남부순환로365길,서울특별시 강남구 도곡동 965 중명하니빌아파트,,,,,,4083361
2020,4,A,골목상권,1000892,개포로82길,서울특별시 강남구 개포동 186-11 성지빌딩,,,,,,626361
2020,4,A,골목상권,1000891,개포로28길,서울특별시 강남구 개포동 1215,,,,,,2343374
2020,4,A,골목상권,1000890,개포로20길,서울특별시 강남구 개포동 1231-23,,,,,,3548927
2020,4,A,골목상권,1000889,개포로17길,서울특별시 강남구 개포동 1245-8 우림레스빌,,,,,,2642545
2020,4,A,골목상권,1000888,강남대로140길,서울특별시 강남구 논현동 20,,,,,,3329588
2020,4,A,골목상권,1000887,강남대로136길,서울특별시 강남구 논현동 20-9,,,,,,4189847
2020,4,A,골목상권,1000886,강남대로118길,서울특별시 강남구 논현동 165-9,,,,,,4788690
2020,4,A,골목상권,1000885,서초중앙로8길,서울특별시 서초구 서초동 1621-13 서초 카라얀타워 빌딩,,,,,,4100128
2020,4,A,골목상권,1000884,방배중앙로21길,서울특별시 서초구 방배동 783-17 방배동 성원빌딩,,,,,,4417652
2020,4,A,골목상권,1000883,효령로72길,서울특별시 서초구 서초동 1346 현대상가,,,,,,3196575
2020,4,A,골목상권,1000882,효령로34길,서울특별시 서초구 방배동 984-3 프린스 효령빌딩,,,,,,2135225
2020,4,A,골목상권,1000881,효령로31길,서울특별시 서초구 방배동 912-8 반도빌딩,,,,,,4018473
2020,4,A,골목상권,1000880,효령로23길,서울특별시 서초구 방배동 916-7,,,,,,3897951
2020,4,A,골목상권,1000879,청두곶길,서울특별시 서초구 방배동 448-9,,,,,,4606379
2020,4,A,골목상권,1000878,주흥길,서울특별시 서초구 반포동 745-6,,,,,,5198665
2020,4,A,골목상권,1000877,주흥15길,서울특별시 서초구 반포동 711-25,,,,,,4711183
2020,4,A,골목상권,1000876,언남길,서울특별시 서초구 양재동 324 신성빌딩,,,,,,2741714
2020,4,A,골목상권,1000875,신반포로45길,서울특별시 서초구 잠원동 40-6,,,,,,4282863
2020,4,A,골목상권,1000874,서초대로8길,서울특별시 서초구 방배동 967-7,,,,,,3424204
2020,4,A,골목상권,1000873,서초대로64길,서울특별시 서초구 서초동 1678-6,,,,,,3267524
2020,4,A,골목상권,1000872,서초대로4길,서울특별시 서초구 방배동 951-17,,,,,,4513409
2020,4,A,골목상권,1000871,서초대로25길,서울특별시 서초구 방배동 876-20 희연(HEE YEON),,,,,,4774707
2020,4,A,골목상권,1000870,서초대로23길,서울특별시 서초구 방배동 872-12,,,,,,4172175
2020,4,A,골목상권,1000869,서초대로15길,서울특별시 서초구 방배동 871-1,,,,,,3916261
2020,4,A,골목상권,1000868,사평대로57길,서울특별시 서초구 반포동 747-8,,,,,,5013914
2020,4,A,골목상권,1000867,사평대로26길,서울특별시 서초구 반포동 535-28,,,,,,2163278
2020,4,A,골목상권,1000866,사평대로22길,서울특별시 서초구 반포동 94-14 성원빌딩,,,,,,3242512
2020,4,A,골목상권,1000865,사임당로17길,서울특별시 서초구 서초동 1649-18 롯데빌리지,,,,,,4036394
2020,4,A,골목상권,1000864,방배로42길,서울특별시 서초구 방배동 18-27,,,,,,3245872
2020,4,A,골목상권,1000863,방배로35길,서울특별시 서초구 방배동 794-28 오리엔트빌,,,,,,4539815
2020,4,A,골목상권,1000862,방배로18길,서울특별시 서초구 방배동 902-5 BH빌딩,,,,,,3210967
2020,4,A,골목상권,1000861,반포대로9길,서울특별시 서초구 서초동 1461-2 삼현빌딩,,,,,,3127303
2020,4,A,골목상권,1000860,바우뫼로39길,서울특별시 서초구 양재동 16-35,,,,,,3300288
2020,4,A,골목상권,1000859,마방로2길,서울특별시 서초구 양재동 241-1 서전자동차공업사,,,,,,2182938
2020,4,A,골목상권,1000858,방배천로4안길,서울특별시 서초구 방배동 451-7 삼원빌딩,,,,,,3744413
2020,4,A,골목상권,1000857,동산로19길,서울특별시 서초구 양재동 290-5,,,,,,3587787
2020,4,A,골목상권,1000856,동산로10길,서울특별시 서초구 양재동 376-7 휴먼시티빌라트,,,,,,2725883
2020,4,A,골목상권,1000855,동광로39길,서울특별시 서초구 반포동 86-3,,,,,,3231051
2020,4,A,골목상권,1000854,동광로1길,서울특별시 서초구 방배동 783-16,,,,,,4548182
2020,4,A,골목상권,1000853,동광로12길,서울특별시 서초구 방배동 822-22 데코아트빌9차,,,,,,5647876
2020,4,A,골목상권,1000852,논현로27길,서울특별시 서초구 양재동 84-7 유진빌딩,,,,,,2716694
2020,4,A,골목상권,1000851,논현로1길,서울특별시 서초구 양재동 401-1 드림하우스,,,,,,3229829
2020,4,A,골목상권,1000850,남부순환로339길,서울특별시 서초구 서초동 1432-20,,,,,,2536541
2020,4,A,골목상권,1000849,남부순환로325길,서울특별시 서초구 서초동 1450-3,,,,,,3223490
2020,4,A,골목상권,1000848,남부순환로317길,서울특별시 서초구 서초동 1465-8 한길교회,,,,,,3569133
2020,4,A,골목상권,1000847,고무래로8길,서울특별시 서초구 반포동 55-6 대동빌딩,,,,,,2887091
2020,4,A,골목상권,1000846,강남대로8길,서울특별시 서초구 양재동 327-20,,,,,,2797605
