No,구,동,전용면적,년,월,거래금액(,면적금액,층,건축년도,도로명,경도,위도,상태
1099,서초구,방배동,59.94,2019,1,109000,1818,9,1999,서초구 서초대로1길 30,126.984093029255,37.4892553241912,정좌표
1100,서초구,방배동,163.36,2019,1,174000,1065,6,2004,서초구 서초대로33길 22,126.996727042234,37.4898573953238,정좌표
1101,서초구,방배동,59.86,2019,5,115000,1921,9,2001,서초구 서초대로1길 34,126.983179074154,37.4902551726555,정좌표
1102,서초구,방배동,216.7346,2019,2,266250,1228,11,2006,서초구 동광로 89-5,126.991036591384,37.4946327515798,정좌표
1103,서초구,방배동,84.982,2019,7,150000,1765,8,2004,서초구 방배중앙로21길 55,126.983979913706,37.4914124122117,정좌표
1104,서초구,방배동,133.54,2019,7,133000,996,2,2004,서초구 사평대로6길 106,126.993587622208,37.494102899651,정좌표
1105,서초구,방배동,121.62,2019,7,70500,580,2,2003,서초구 남부순환로297다길 17,126.993712275359,37.4757371471958,정좌표
1106,서초구,방배동,188,2019,9,162000,862,6,2003,서초구 동광로24길 15-4,126.993391164162,37.4923083539372,정좌표
1107,서초구,방배동,84.76,2019,9,102000,1203,4,1992,서초구 효령로4길 56-29,126.990943975555,37.4757736559642,정좌표
1108,서초구,방배동,29.6,2019,2,34700,1172,9,2005,서초구 서초대로 17,126.984407905296,37.4860275801568,정좌표
1109,서초구,방배동,100.38,2019,10,124500,1240,3,2003,서초구 동광로22길 32,126.992470716857,37.4918796830342,정좌표
1110,서초구,방배동,121.65,2019,6,135000,1110,5,2004,서초구 방배로30길 41,126.994450999787,37.4917821740457,정좌표
1111,서초구,방배동,216.15,2019,1,280000,1295,12,2002,서초구 방배로28길 90,126.996964425211,37.4910426118277,정좌표
1112,서초구,방배동,209.33,2019,11,129000,616,3,2004,서초구 남부순환로309길 67,127.002632130181,37.4805330460726,정좌표
1113,서초구,방배동,84.46,2019,6,110200,1305,14,2006,서초구 서초대로 3-4,126.983083051763,37.4860308045704,정좌표
1114,서초구,방배동,103.34,2019,6,145000,1403,20,2005,서초구 남부순환로 2183,126.990174539395,37.4753094725653,정좌표
1115,서초구,방배동,247.32,2019,4,250000,1011,2,2006,서초구 동광로27길 15,126.994415898847,37.494576235283,정좌표
1116,서초구,방배동,198.16,2019,4,396000,1998,9,2009,서초구 방배로26길 41,126.995523811386,37.4903739701145,정좌표
1117,서초구,방배동,95.79,2019,6,80000,835,3,2002,서초구 효령로5길 9,126.98624835652,37.4776281626975,정좌표
1118,서초구,방배동,84.94,2019,4,104000,1224,6,2006,서초구 방배로19길 67,126.992040622504,37.4832473192665,정좌표
1119,서초구,방배동,187.34,2019,4,140000,747,2,2000,서초구 방배로28길 46,126.994624402727,37.4909142764665,정좌표
1120,서초구,방배동,109.27,2019,5,108000,988,5,2004,서초구 서초대로27길 20,126.994715413002,37.4890545311279,정좌표
1121,서초구,방배동,130.9,2019,8,117000,894,3,2004,서초구 서초대로27길 18,126.994843288925,37.4888567789546,정좌표
1122,서초구,방배동,187.91,2019,10,140000,745,3,2003,서초구 방배로1길 9,127.001219653273,37.4752282601786,정좌표
1123,서초구,방배동,185.46,2019,1,220000,1186,8,1983,서초구 방배로 270,126.990563578392,37.4967162749212,정좌표
1124,서초구,방배동,37.8,2019,11,38000,1005,1,2000,서초구 서초대로23길 74,126.991139893694,37.4906616307986,정좌표
1125,서초구,방배동,125.58,2019,1,154000,1226,9,2006,서초구 동광로3길 18,126.984809574895,37.4914667796622,정좌표
1126,서초구,방배동,149.225,2019,5,145000,972,14,2004,서초구 방배중앙로 207-10,126.984101782509,37.4976447530468,정좌표
1127,서초구,방배동,60.12,2019,8,66000,1098,5,2007,서초구 방배로13길 18,126.995288996897,37.4831361317236,정좌표
1128,서초구,방배동,99.7,2019,3,100000,1003,5,2005,서초구 효령로2길 81,126.990788136208,37.4754056798182,정좌표
1129,서초구,방배동,74.87,2019,10,94000,1256,5,2005,서초구 효령로2길 87,126.991133758346,37.4753057656929,정좌표
1130,서초구,방배동,117.26,2019,2,103500,883,5,2005,서초구 효령로2길 109,126.992295188982,37.4749817650917,정좌표
1131,서초구,방배동,74.87,2019,7,90000,1202,1,2005,서초구 효령로2길 73,126.990385897273,37.4755155341308,정좌표
1132,서초구,방배동,117.26,2019,7,128000,1092,3,2005,서초구 효령로2길 101,126.991909248345,37.4750870977005,정좌표
1133,서초구,방배동,84.9152,2019,4,148500,1749,10,2018,서초구 명달로9길 57,127.002224684118,37.479721277242,정좌표
1134,서초구,방배동,208.29,2019,10,240000,1152,3,2005,서초구 동광로27길 29-6,126.994251879941,37.4953090585695,정좌표
1135,서초구,방배동,122.785,2019,4,130000,1059,11,2008,서초구 명달로1길 51,127.003358707769,37.4779875043001,정좌표
1136,서초구,방배동,84.31,2019,7,89000,1056,5,2004,서초구 효령로2길 30,126.987970850213,37.4758903349104,정좌표
1137,서초구,방배동,117.19,2019,5,90000,768,2,1991,서초구 방배선행길 1,126.983353143794,37.4749373253869,정좌표
1138,서초구,방배동,84,2019,4,102000,1214,8,1988,서초구 방배로2길 24-6,127.002000426411,37.4757002614845,정좌표
1139,서초구,방배동,67.47,2019,4,94000,1393,10,1988,서초구 방배로2길 24-5,127.003554350634,37.4764109442404,정좌표
1140,서초구,방배동,194.92,2019,12,193000,990,6,2003,서초구 방배로18길 67,126.998965176052,37.4859696102565,정좌표
1141,서초구,방배동,82.05,2019,6,79500,969,4,2003,서초구 동광로18길 16,126.989683701604,37.490941440872,정좌표
1142,서초구,방배동,112.68,2019,9,148000,1313,8,2001,서초구 효령로33길 66-31,126.998945705244,37.4848642802047,정좌표
1143,서초구,방배동,113.67,2019,6,95000,836,5,2002,서초구 남부순환로287길 7,126.987254252357,37.4760743498782,정좌표
1144,서초구,방배동,228.39,2019,11,148500,650,2,2000,서초구 방배로34길 42,126.993003518515,37.4928621081209,정좌표
1145,서초구,방배동,190.19,2019,7,172000,904,4,2004,서초구 서초대로33길 116,126.994403018774,37.4934461471268,정좌표
1146,서초구,방배동,173.25,2019,11,200000,1154,2,2005,서초구 방배로34길 51,126.993565528008,37.4932905007276,정좌표
1147,서초구,방배동,77.74,2019,5,87000,1119,5,2007,서초구 동광로24길 22,126.993096954862,37.4921143814447,정좌표
1148,서초구,방배동,84.96,2019,4,111500,1312,10,2005,서초구 서초대로26길 19,126.99546061117,37.4864200679443,정좌표
1149,서초구,방배동,173.971,2019,7,180000,1035,9,2005,서초구 효령로26길 15,126.995618128675,37.4798149427375,정좌표
1150,서초구,방배동,108.84,2019,11,87000,799,1,2001,서초구 서초대로33길 67,126.995129564251,37.4913863147339,정좌표
1151,서초구,방배동,193.57,2019,4,160000,827,1,2005,서초구 방배로34길 102,126.996479241044,37.493491068949,정좌표
1152,서초구,방배동,84.91,2019,1,115000,1354,4,2003,서초구 방배선행길 2,126.984843293171,37.4723457483736,정좌표
1153,서초구,방배동,88.26,2019,7,140000,1586,10,1981,서초구 효령로34길 79,127.001841381642,37.4784701050956,정좌표
1154,서초구,방배동,80.33,2019,6,108000,1344,8,1975,서초구 방배로43길 5,126.988137880404,37.4957536851791,정좌표
1155,서초구,방배동,116.13,2019,8,150000,1292,2,1975,서초구 방배로43길 21,126.987289224463,37.4948531538432,정좌표
1156,서초구,방배동,127.94,2019,5,140000,1094,2,1976,서초구 방배로43길 30,126.986939487114,37.4958498893605,정좌표
1157,서초구,방배동,131.41,2019,7,148000,1126,9,1976,서초구 방배로43길 2,126.987441066361,37.4965325918247,정좌표
1158,서초구,방배동,129.76,2019,7,173000,1333,8,1976,서초구 방배로45길 2,126.986806193854,37.4976610393872,정좌표
1159,서초구,방배동,181.6,2019,11,184000,1013,6,1976,서초구 방배로45길 27,126.986062923492,37.4960308575141,정좌표
1160,서초구,방배동,84.87,2019,6,109000,1284,4,1998,서초구 방배로3길 10-3,126.998912884005,37.4777095920398,정좌표
1161,서초구,방배동,92.93,2019,8,98000,1055,5,2003,서초구 명달로 33,127.005548957256,37.4799751779536,정좌표
1162,서초구,방배동,139.57,2019,12,110500,792,1,2003,서초구 서초대로29길 22-15,126.995875624963,37.4896769186121,정좌표
1163,서초구,방배동,136.87,2019,7,145000,1059,5,2004,서초구 서초대로33길 84-24,126.996153090143,37.492154495817,정좌표
