No,구,동,전용면적,년,월,거래금액(,면적금액,층,건축년도,도로명,경도,위도,상태
1,강남구,개포동,79.97,2018,1,130000,1626,4,1987,강남구 언주로 3,127.055285756609,37.4766068800143,정좌표
2,강남구,개포동,161,2018,1,210000,1304,12,1984,강남구 개포로 307,127.05635291183,37.4833406455719,정좌표
3,강남구,개포동,170.32,2018,1,162000,951,16,2004,강남구 개포로109길 69,127.076968697071,37.4960793107687,정좌표
4,강남구,개포동,50.38,2018,1,163000,3235,4,1982,강남구 개포로 310,127.057447225388,37.4847813405013,인근좌표
5,강남구,개포동,56.57,2018,1,179000,3164,5,1982,강남구 선릉로 7,127.062644951988,37.4825494532469,인근좌표
6,강남구,개포동,50.39,2018,1,134000,2659,1,1982,강남구 삼성로 14,127.068092573165,37.4841345288743,인근좌표
7,강남구,개포동,74.25,2018,1,155000,2088,13,1983,강남구 삼성로4길 17,127.069035817017,37.4879158523771,정좌표
8,강남구,개포동,60.13,2018,1,135400,2252,1,1983,강남구 개포로 516,127.069770643237,37.4893471889718,정좌표
9,강남구,개포동,82.2,2018,1,125000,1521,7,1986,강남구 언주로 105,127.052676167647,37.48167954289,정좌표
10,강남구,개포동,123.28,2018,3,200000,1622,10,1984,강남구 언주로 110,127.053085689921,37.484492170554,정좌표
11,강남구,개포동,73.55,2018,12,49700,676,3,2001,강남구 논현로2길 61-4,127.054814916716,37.4748315846041,정좌표
12,강남구,개포동,68.64,2018,1,46400,676,2,2004,강남구 개포로28길 28,127.050320116671,37.4772989909803,정좌표
13,강남구,개포동,51.12,2018,1,96000,1878,7,1992,강남구 개포로109길 21,127.076423269295,37.4953788016947,정좌표
14,강남구,개포동,59.96,2018,6,46500,776,7,2000,강남구 논현로2길 36,127.053099472175,37.473274763719,정좌표
15,강남구,개포동,40.35,2018,12,25500,632,2,2000,강남구 논현로2길 38,127.053244493298,37.4733733804811,정좌표
16,강남구,개포동,39.53,2018,1,80800,2044,15,1992,강남구 개포로109길 9,127.074251101797,37.4945303841879,정좌표
17,강남구,개포동,51.18,2018,1,136000,2657,2,1984,강남구 언주로 21,127.055237879055,37.4787237310047,정좌표
18,강남구,개포동,59.96,2018,3,35000,584,5,2001,강남구 논현로2길 22,127.052384091384,37.4728112787957,정좌표
19,강남구,개포동,83.58,2018,1,65000,778,4,2003,강남구 선릉로8길 5,127.061287681064,37.4829094729996,정좌표
20,강남구,개포동,79.61,2018,1,130000,1633,7,1987,강남구 개포로 411,127.062974448738,37.4881200083009,정좌표
21,강남구,개포동,81.42,2018,1,115000,1412,9,1991,강남구 개포로 311,127.057447225388,37.4847813405013,정좌표
22,강남구,개포동,65.06,2018,1,52000,799,6,2006,강남구 개포로31길 9-9,127.048776399155,37.4795161364463,정좌표
23,강남구,개포동,137.82,2018,1,81000,588,2,2006,강남구 개포로31길 9-5,127.049124679016,37.4795535205082,정좌표
24,강남구,개포동,133.68,2018,4,160000,1197,4,1994,강남구 선릉로18길 12,127.060148333891,37.4843192939234,정좌표
25,강남구,개포동,177.19,2018,1,205000,1157,7,1984,강남구 개포로 303,127.055581803811,37.4827180610645,정좌표
26,강남구,개포동,165.08,2018,1,210000,1272,1,1986,강남구 언주로 107,127.050285189439,37.4819476351936,정좌표
27,강남구,개포동,84.87,2018,8,135000,1591,2,1986,강남구 개포로 409,127.060926138626,37.4875524877951,정좌표
28,강남구,논현동,129.1841,2018,3,88700,687,1,2005,강남구 봉은사로11길 12,127.028938932599,37.5067442341378,정좌표
29,강남구,논현동,42.015,2018,1,34800,828,11,1996,강남구 강남대로112길 41,127.027655272645,37.506323311769,정좌표
30,강남구,논현동,59.56,2018,10,79500,1335,1,1996,강남구 언주로116길 12,127.03818338076,37.5106689249365,정좌표
31,강남구,논현동,123.8,2018,1,95500,771,4,2009,강남구 도산대로54길 48-8,127.03885141416,37.5196750070353,정좌표
32,강남구,논현동,84.9968,2018,12,101000,1188,7,2007,강남구 학동로38길 22,127.034161564031,37.5135183658614,정좌표
33,강남구,논현동,134.28,2018,2,84500,629,2,2004,강남구 논현로113길 5,127.032839053121,37.5081895467411,정좌표
34,강남구,논현동,67.671,2018,1,80000,1182,2,2005,강남구 논현로111길 39,127.030422758162,37.5068222507751,정좌표
35,강남구,논현동,240.03,2018,8,443000,1846,3,2012,강남구 학동로46길 32,127.03877343834,37.5140738537154,정좌표
36,강남구,논현동,111.08,2018,1,85000,765,7,2002,강남구 학동로30길 21,127.032703261638,37.5127295066008,정좌표
37,강남구,논현동,90.38,2018,4,66750,739,1,2003,강남구 논현로124길 7,127.032262227158,37.5124607790224,정좌표
38,강남구,논현동,80.85,2018,1,69500,860,7,2009,강남구 학동로43길 38,127.038022918893,37.5184583637198,정좌표
39,강남구,논현동,170.57,2018,1,150000,879,14,2007,강남구 학동로 338,127.040162132439,37.5165399722017,정좌표
40,강남구,논현동,122.44,2018,1,78000,637,3,2006,강남구 봉은사로11길 11,127.028405304286,37.5065888740742,정좌표
41,강남구,논현동,114.498,2018,1,124000,1083,5,2003,강남구 언주로116길 6,127.03755289336,37.5105008788404,정좌표
42,강남구,논현동,149.83,2018,1,240000,1602,14,2004,강남구 언주로130길 30,127.03826931324,37.5150870822504,정좌표
43,강남구,논현동,84.92,2018,3,135000,1590,5,1985,강남구 언주로146길 18,127.036013122199,37.5191050502731,정좌표
44,강남구,논현동,84.993,2018,8,117000,1377,4,2004,강남구 학동로46길 38,127.038857186767,37.5136799271937,정좌표
45,강남구,논현동,84.253,2018,3,111000,1317,5,2004,강남구 언주로122길 25,127.0382994809,37.5122546859857,정좌표
46,강남구,논현동,84.84,2018,2,63700,751,3,2004,강남구 논현로124길 8,127.032401164607,37.5121819084736,정좌표
47,강남구,논현동,36.29,2018,1,41000,1130,15,2004,강남구 학동로 165,127.028978365012,37.5138617777912,정좌표
48,강남구,논현동,160.97,2018,3,110000,683,3,2004,강남구 학동로5길 17,127.022639257051,37.5129124380724,정좌표
49,강남구,논현동,232.54,2018,8,220000,946,6,2005,강남구 학동로11길 13,127.02440561758,37.5131741066323,정좌표
50,강남구,논현동,74.84,2018,11,74500,995,1,2003,강남구 학동로21길 23,127.027323673904,37.5148387277694,정좌표
51,강남구,논현동,167.22,2018,2,133000,795,3,2004,강남구 학동로7길 6,127.023941086711,37.5124883760361,정좌표
52,강남구,논현동,35.73,2018,1,68000,1903,11,1997,강남구 강남대로146길 28,127.023571672533,37.5149758020975,정좌표
53,강남구,논현동,59.91,2018,2,72000,1202,5,1996,강남구 도산대로50길 43,127.038156368142,37.5196429971543,정좌표
54,강남구,논현동,113.087,2018,1,161000,1424,24,2014,강남구 언주로 604,127.03944723525,37.5093849182824,정좌표
55,강남구,논현동,74.758,2018,2,80300,1074,5,2002,강남구 언주로136길 21,127.037388007284,37.5178507981754,정좌표
56,강남구,논현동,110.1,2018,3,74000,672,5,2004,강남구 강남대로120길 58,127.028049218125,37.5075485695091,정좌표
57,강남구,논현동,65.31,2018,9,60000,919,4,2003,강남구 강남대로124길 51,127.026065379754,37.5102750740184,정좌표
58,강남구,논현동,64.23,2018,8,44500,693,4,2011,강남구 논현로111길 34,127.030693323145,37.5072030680509,정좌표
59,강남구,논현동,129.8,2018,1,90000,693,2,2005,강남구 봉은사로29길 26,127.034132997046,37.5092413135037,정좌표
60,강남구,논현동,73.17,2018,6,85000,1162,4,2003,강남구 강남대로136길 40,127.023662294887,37.5137356308609,정좌표
61,강남구,논현동,97.18,2018,1,120000,1235,4,1976,강남구 도산대로 232,127.032579831109,37.520386040099,정좌표
62,강남구,논현동,131.01,2018,2,93500,714,1,2004,강남구 봉은사로51길 40,127.042244712297,37.5126451862853,정좌표
63,강남구,논현동,77.99,2018,1,68000,872,7,2004,강남구 도산대로30길 56,127.030591671194,37.5162083020386,정좌표
64,강남구,논현동,74.6,2018,7,59000,791,4,2005,강남구 논현로124길 28,127.033814306057,37.5126122137496,정좌표
65,강남구,논현동,16.2,2018,8,20000,1235,4,2013,강남구 봉은사로29길 35,127.033567144107,37.5095996233905,정좌표
66,강남구,논현동,84.94,2018,1,97500,1148,4,2004,강남구 도산대로46길 21,127.03720298848,37.520555313315,정좌표
67,강남구,논현동,117.335,2018,1,87000,741,5,2006,강남구 봉은사로21길 19,127.030820796026,37.5075133710644,정좌표
68,강남구,논현동,244.61,2018,3,135000,552,1,1997,강남구 학동로42길 60,127.036776767527,37.5115862266079,정좌표
69,강남구,논현동,133.16,2018,10,102000,766,13,1997,강남구 언주로 620,127.036353644742,37.5116217024002,정좌표
70,강남구,대치동,127.61,2018,1,265000,2077,11,1983,강남구 선릉로 120,127.060435971877,37.4908484759863,정좌표
71,강남구,대치동,35.236,2018,5,29250,830,10,2003,강남구 삼성로85길 42,127.053800570572,37.5045490589046,정좌표
72,강남구,대치동,33.06,2018,2,32000,968,8,2004,강남구 선릉로90길 56,127.053830935981,37.5050303189276,정좌표
73,강남구,대치동,112.0834,2018,1,250000,2230,3,2017,강남구 삼성로51길 25,127.059600331339,37.4956608836046,정좌표
74,강남구,대치동,79.07,2018,1,65000,822,4,2004,강남구 삼성로85길 38,127.054180564453,37.5046215207345,정좌표
75,강남구,대치동,97.35,2018,1,180000,1849,6,2000,강남구 도곡로78길 22,127.059352376145,37.496826138907,정좌표
76,강남구,대치동,59.96,2018,1,140000,2335,6,2008,강남구 선릉로 222,127.054753672638,37.4958736446638,정좌표
77,강남구,대치동,84.69,2018,3,170000,2007,9,1984,강남구 영동대로 230,127.069605384789,37.4997899341176,정좌표
78,강남구,대치동,169.19,2018,7,145000,857,4,2003,강남구 삼성로57길 37-5,127.058494887263,37.4970380919684,정좌표
79,강남구,대치동,74.15,2018,1,95000,1281,9,2005,강남구 선릉로76길 12,127.051604654413,37.5014029328182,정좌표
80,강남구,대치동,101.6,2018,1,155000,1526,8,1999,강남구 삼성로64길 5,127.060366906816,37.5011834870663,정좌표
81,강남구,대치동,84.91,2018,6,118000,1390,9,1999,강남구 삼성로64길 12,127.061174101518,37.499908720911,정좌표
82,강남구,대치동,84.9,2018,2,76000,895,2,2004,강남구 선릉로62길 38,127.055543174318,37.4978292339274,정좌표
83,강남구,대치동,117.49,2018,5,103500,881,1,2004,강남구 도곡로69길 7,127.055856611251,37.497913788563,정좌표
84,강남구,대치동,145.83,2018,1,255000,1749,2,2005,강남구 선릉로 206,127.056266816446,37.4926378654099,정좌표
85,강남구,대치동,98.73,2018,3,85000,861,3,1999,강남구 선릉로72길 10-7,127.052567532952,37.4997762049278,정좌표
86,강남구,대치동,110.39,2018,1,170000,1540,6,1989,강남구 도곡로93길 12,127.06597206839,37.5008187929885,정좌표
87,강남구,대치동,91.93,2018,1,215000,2339,7,2015,강남구 삼성로51길 35,127.061404562227,37.4955650210545,정좌표
88,강남구,대치동,94.5,2018,1,235000,2487,20,2015,강남구 삼성로51길 37,127.059123436949,37.4952365470638,정좌표
