No,구,동,전용면적,년,월,거래금액(,면적금액,층,건축년도,도로명,경도,위도,상태
1,강남구,개포동,77.75,2020,6,149500,1923,4,1988,강남구 언주로 103,127.052912157313,37.4813446786643,정좌표
2,강남구,개포동,54.98,2020,2,144000,2619,4,1987,강남구 언주로 3,127.055285756609,37.4766068800143,정좌표
3,강남구,개포동,59.92,2020,12,193000,3221,5,2020,강남구 개포로 264,127.054692055118,37.4782653151185,정좌표
4,강남구,개포동,133.46,2020,1,220000,1648,3,1984,강남구 개포로 307,127.05635291183,37.4833406455719,정좌표
5,강남구,개포동,134.3,2020,1,203000,1512,17,2004,강남구 개포로109길 69,127.076968697071,37.4960793107687,정좌표
6,강남구,개포동,42.55,2020,2,192000,4512,4,1982,강남구 개포로 310,127.057447225388,37.4847813405013,인근좌표
7,강남구,개포동,56.57,2020,3,309500,5471,4,1982,강남구 선릉로 7,127.062644951988,37.4825494532469,인근좌표
8,강남구,개포동,61.19,2020,2,177000,2893,14,1983,강남구 삼성로4길 17,127.069035817017,37.4879158523771,정좌표
9,강남구,개포동,60.13,2020,1,180000,2994,14,1983,강남구 개포로 516,127.069770643237,37.4893471889718,정좌표
10,강남구,개포동,96.98,2020,2,197000,2031,2,1984,강남구 언주로 110,127.053085689921,37.484492170554,정좌표
11,강남구,개포동,69.55,2020,8,62000,891,4,2001,강남구 논현로2길 61-4,127.054814916716,37.4748315846041,정좌표
12,강남구,개포동,94.29,2020,1,285000,3023,12,2019,강남구 삼성로 11,127.068092573165,37.4841345288743,정좌표
13,강남구,개포동,59.897,2020,1,188000,3139,4,2019,강남구 선릉로 8,127.062644951988,37.4825494532469,정좌표
14,강남구,개포동,84.16,2020,3,62000,737,6,2002,강남구 논현로2길 62,127.054816108871,37.4743922645659,정좌표
15,강남구,개포동,107.88,2020,8,80500,746,5,2004,강남구 개포로28길 28,127.050320116671,37.4772989909803,정좌표
16,강남구,개포동,60,2020,1,146000,2433,14,1992,강남구 개포로109길 21,127.076423269295,37.4953788016947,정좌표
17,강남구,개포동,161.07,2020,2,215000,1335,6,2003,강남구 개포로 405,127.060273448871,37.4872153847374,정좌표
18,강남구,개포동,73.5,2020,7,64000,871,4,2000,강남구 논현로2길 34,127.052958645103,37.4731840946454,정좌표
19,강남구,개포동,57.93,2020,9,53000,915,6,2000,강남구 논현로2길 38,127.053244493298,37.4733733804811,정좌표
20,강남구,개포동,49.86,2020,1,124500,2497,6,1992,강남구 개포로109길 9,127.074251101797,37.4945303841879,정좌표
