상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
12034305,컴포스커피수서점,스커피수서점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168075000,수서동,1168011500,수서동,1.16801E+18,1,대지,713,,서울특별시 강남구 수서동 713,1.16804E+11,서울특별시 강남구 밤고개로1길,10,,1.16801E+24,수서현대벤쳐빌,서울특별시 강남구 밤고개로1길 10,135539,6349,,1,,127.1018421,37.48801336
16205808,컴포즈커피,매봉역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168065600,도곡2동,1168011800,도곡동,1.16801E+18,1,대지,411,20,서울특별시 강남구 도곡동 411-20,1.16802E+11,서울특별시 강남구 남부순환로,2738,,1.16801E+24,상일빌딩,서울특별시 강남구 남부순환로 2738,135854,6296,,4,,127.0454083,37.48595797
15994483,컴포즈커피,잠실점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11710,송파구,1171071000,잠실6동,1171010200,신천동,1.17101E+18,1,대지,7,,서울특별시 송파구 신천동 7,1.17104E+11,서울특별시 송파구 올림픽로35길,112,,1.17101E+24,장미아파트비상가,서울특별시 송파구 올림픽로35길 112,138796,5504,,,,127.1020144,37.51800193
16082125,컴포즈커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11710,송파구,1171064200,문정2동,1171010800,문정동,1.17101E+18,1,대지,645,,서울특별시 송파구 문정동 645,1.17105E+11,서울특별시 송파구 법원로11길,25,,1.17101E+24,에이치비지니스파크,서울특별시 송파구 법원로11길 25,138888,5836,B,11,1101,127.1162166,37.48494102
