,cafe,gu_cd,gu,emd_cd,emd,gibun,road,lng,lat,year
41,빽다방강남소망점,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 627-6,서울특별시 강남구 언주로159길 3,127.0326234,37.52422988,2018
42,빽다방,11140,중구,1114014500,광희동1가,서울특별시 중구 광희동1가 168,서울특별시 중구 마른내로 159-1,127.0058501,37.56475288,2018
43,빽다방회기역점,11230,동대문구,1123010900,휘경동,서울특별시 동대문구 휘경동 191-5,서울특별시 동대문구 회기로 191,127.0571006,37.59016833,2018
44,빽다방방화사거리점,11500,강서구,1150010900,방화동,서울특별시 강서구 방화동 483-5,서울특별시 강서구 금낭화로 91-2,126.811063,37.57363808,2018
45,빽다방,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 19-4,서울특별시 서초구 신반포로 194,127.0068163,37.50642716,2018
46,빽다방,11740,강동구,1174010800,성내동,서울특별시 강동구 성내동 48-4,서울특별시 강동구 천호옛길 94,127.1260359,37.53694213,2018
47,빽다방,11710,송파구,1171010100,잠실동,서울특별시 송파구 잠실동 183-3,서울특별시 송파구 백제고분로7길 45,127.083922,37.51092485,2018
48,빽다방,11440,마포구,1144010500,용강동,서울특별시 마포구 용강동 50-13,서울특별시 마포구 토정로 312,126.9433341,37.53986376,2018
49,빽다방중앙대병원점,11590,동작구,1159010500,흑석동,서울특별시 동작구 흑석동 190-45,서울특별시 동작구 흑석로 93,126.9597961,37.50741907,2018
50,빽다방,11560,영등포구,1156011000,여의도동,서울특별시 영등포구 여의도동 50,서울특별시 영등포구 63로 45,126.9373054,37.52134727,2018
51,역전우동&빽다방,11110,종로구,1111017400,창신동,서울특별시 종로구 창신동 497-2,서울특별시 종로구 종로 300-1,127.011227,37.5715829,2018
52,빽다방,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 705,서울특별시 강남구 테헤란로51길 10,127.0469559,37.50476651,2018
53,빽다방,11110,종로구,1111017500,숭인동,서울특별시 종로구 숭인동 183-12,서울특별시 종로구 종로 387,127.0201867,37.57464005,2018
54,빽다방,11470,양천구,1147010100,신정동,서울특별시 양천구 신정동 902-11,서울특별시 양천구 오목로 231,126.8630223,37.52608877,2018
55,빽다방중계은행사거리점,11350,노원구,1135010600,중계동,서울특별시 노원구 중계동 360-11,서울특별시 노원구 한글비석로 235,127.0763272,37.64878886,2018
56,빽다방,11200,성동구,1120011500,성수동2가,서울특별시 성동구 성수동2가 289-10,서울특별시 성동구 성수이로 113,127.0571136,37.54513411,2018
57,빽다방,11560,영등포구,1156011000,여의도동,서울특별시 영등포구 여의도동 14-24,서울특별시 영등포구 국회대로68길 11,126.9196571,37.52922446,2018
58,빽다방,11440,마포구,1144012000,서교동,서울특별시 마포구 서교동 346-47,서울특별시 마포구 와우산로23길 44,126.9236796,37.55477867,2018
59,빽다방,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 858,서울특별시 강남구 강남대로 396,127.0282892,37.49815386,2018
60,홍콩반점&빽다방,11215,광진구,1121510900,군자동,서울특별시 광진구 군자동 361-25,서울특별시 광진구 광나루로 381-1,127.0723089,37.54809278,2018
61,빽다방논현본점,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 165-15,서울특별시 강남구 봉은사로1길 35,127.0240347,37.5070122,2018
62,빽다방,11530,구로구,1153010200,구로동,서울특별시 구로구 구로동 197-5,서울특별시 구로구 디지털로33길 27,126.8946567,37.48604936,2018
63,빽다방,11110,종로구,1111016900,혜화동,서울특별시 종로구 혜화동 167-3,서울특별시 종로구 대학로 143,127.0012914,37.58402373,2018
64,빽다방역삼테헤란로점,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 828-21,서울특별시 강남구 테헤란로10길 25,127.0330013,37.4975708,2018
65,빽다방,11545,금천구,1154510100,가산동,서울특별시 금천구 가산동 50-3,서울특별시 금천구 벚꽃로 298,126.883859,37.48143359,2018
66,빽다방공덕새창로점,11440,마포구,1144010400,도화동,서울특별시 마포구 도화동 25-5,서울특별시 마포구 새창로 15-1,126.9518216,37.54222806,2018
67,빽다방,11110,종로구,1111017400,창신동,서울특별시 종로구 창신동 496,서울특별시 종로구 종로 300,127.0110914,37.57156374,2018
68,빽다방,11200,성동구,1120011400,성수동1가,서울특별시 성동구 성수동1가 656-565,서울특별시 성동구 왕십리로 100,127.0448637,37.54645932,2018
