상가업소번호,상호명,시군구코드,시군구명,법정동코드,법정동명,지번주소,도로명,경도,위도,year,bus_cnt,HubName,HubDist,star,coffee,paul,mega,com,paik,high,low,total
20424762,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 826-26,서울특별시 강남구 테헤란로2길,127.0296792,37.49648032,2020,3,강남역,466.3858573,87,79,15,7,5,11,181,23,204
20025300,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 646-15,서울특별시 강남구 테헤란로,127.0351776,37.50070625,2020,1,동오역,158.1703565,87,79,15,7,5,11,181,23,204
23316524,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1317-23,서울특별시 서초구 서초대로,127.0259036,37.49809817,2020,5,강남역,766.0452352,45,34,9,5,1,9,88,15,103
23213262,스타벅스,11710,송파구,1171010400,송파동,서울특별시 송파구 송파동 7-4,서울특별시 송파구 석촌호수로,127.1052164,37.50943014,2020,0,잠실역,585.3557016,33,17,1,8,6,10,51,24,75
12338982,스타벅스,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 89-4,서울특별시 강남구 도산대로57길,127.0418193,37.52525095,2020,0,압구정로데오역,467.8398667,87,79,15,7,5,11,181,23,204
20028687,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 988-17,서울특별시 강남구 도곡로,127.0622213,37.49962651,2020,1,대치역,573.7853677,87,79,15,7,5,11,181,23,204
20389762,스타벅스,11350,노원구,1135010200,월계동,서울특별시 노원구 월계동 410-1,서울특별시 노원구 석계로,127.0607054,37.62317518,2020,6,광운대역,140.7357031,11,3,0,12,2,6,14,20,34
20295450,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1699-3,서울특별시 서초구 서초중앙로,127.013362,37.49635417,2020,2,교대역,390.7206732,45,34,9,5,1,9,88,15,103
20607525,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 507,서울특별시 강남구 남부순환로,127.0619041,37.49334362,2020,4,대치역,177.358406,87,79,15,7,5,11,181,23,204
25747966,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 837-36,서울특별시 강남구 강남대로,127.0318013,37.49065888,2020,3,강남역,211.7447532,87,79,15,7,5,11,181,23,204
