,year,id,gu,pop,index,,평균,최소,최대,,id_popul,id_구,구,평균_유동인구_수,연도
66,2020,18,송파구,4257764,66,,4518912.362,1668017,7406208,,67,17,성북구,4518912,2020
67,2020,18,송파구,5098324,67,,5044524.081,838544,9706419,,68,18,송파구,5044524,2020
68,2020,18,송파구,5797973,68,,4193439.133,660691,10030549,,69,19,양천구,4193439,2020
69,2020,18,송파구,4877272,69,,4105180.38,1329506,7304677,,70,20,영등포구,4105180,2020
70,2020,18,송파구,5543774,70,,3112607.763,855160,6749449,,71,21,용산구,3112608,2020
71,2020,1,강남구,3909208,71,,6242359.438,6002480,6498629,,72,22,은평구,6827242,2020
72,2020,1,강남구,4204012,72,,3013603.897,183425,7111269,,73,23,종로구,3013604,2020
73,2020,1,강남구,6023917,73,,4031901.67,1027269,7016202,,74,24,중구,4031902,2020
74,2020,1,강남구,3628839,74,,5710217.175,2640965,10229718,,75,25,중랑구,5710217,2020
75,2020,1,강남구,2394154,75,,,,,,,,,,
76,2020,1,강남구,3607530,76,,,,,,,,,,
77,2020,1,강남구,3849639,77,,,,,,,,,,
78,2020,1,강남구,4175568,78,,,,,,,,,,
79,2020,1,강남구,1648470,79,,,,,,,,,,
80,2020,1,강남구,6387206,80,,,,,,,,,,
81,2020,1,강남구,3199302,81,,,,,,,,,,
82,2020,1,강남구,949507,82,,,,,,,,,,
83,2020,1,강남구,4187298,83,,,,,,,,,,
84,2020,1,강남구,4912092,84,,,,,,,,,,
85,2020,1,강남구,6554681,85,,,,,,,,,,
86,2020,1,강남구,4779857,86,,,,,,,,,,
87,2020,1,강남구,7050002,87,,,,,,,,,,
88,2020,1,강남구,6454369,88,,,,,,,,,,
89,2020,1,강남구,4055834,89,,,,,,,,,,
90,2020,1,강남구,6028388,90,,,,,,,,,,
91,2020,1,강남구,5253750,91,,,,,,,,,,
92,2020,1,강남구,3865778,92,,,,,,,,,,
93,2020,1,강남구,3956518,93,,,,,,,,,,
94,2020,1,강남구,3689705,94,,,,,,,,,,
95,2020,1,강남구,3582447,95,,,,,,,,,,
96,2020,1,강남구,5650636,96,,,,,,,,,,
97,2020,1,강남구,5949088,97,,,,,,,,,,
98,2020,1,강남구,1849785,98,,,,,,,,,,
99,2020,1,강남구,2788286,99,,,,,,,,,,
100,2020,1,강남구,2842170,100,,,,,,,,,,
101,2020,1,강남구,4320219,101,,,,,,,,,,
102,2020,1,강남구,2293309,102,,,,,,,,,,
103,2020,1,강남구,2546282,103,,,,,,,,,,
104,2020,1,강남구,3579517,104,,,,,,,,,,
105,2020,1,강남구,3700107,105,,,,,,,,,,
106,2020,1,강남구,5783167,106,,,,,,,,,,
107,2020,1,강남구,2097261,107,,,,,,,,,,
108,2020,1,강남구,4388544,108,,,,,,,,,,
109,2020,1,강남구,2753984,109,,,,,,,,,,
110,2020,1,강남구,2813838,110,,,,,,,,,,
111,2020,1,강남구,3537164,111,,,,,,,,,,
112,2020,1,강남구,3593599,112,,,,,,,,,,
113,2020,1,강남구,3847955,113,,,,,,,,,,
114,2020,1,강남구,6142013,114,,,,,,,,,,
115,2020,1,강남구,3248849,115,,,,,,,,,,
116,2020,1,강남구,4041107,116,,,,,,,,,,
117,2020,18,송파구,4083361,117,,,,,,,,,,
118,2020,1,강남구,626361,118,,,,,,,,,,
119,2020,1,강남구,2343374,119,,,,,,,,,,
120,2020,1,강남구,3548927,120,,,,,,,,,,
121,2020,1,강남구,2642545,121,,,,,,,,,,
122,2020,1,강남구,3329588,122,,,,,,,,,,
123,2020,1,강남구,4189847,123,,,,,,,,,,
124,2020,1,강남구,4788690,124,,,,,,,,,,
125,2020,15,서초구,4100128,125,,,,,,,,,,
126,2020,15,서초구,4417652,126,,,,,,,,,,
127,2020,15,서초구,3196575,127,,,,,,,,,,
128,2020,15,서초구,2135225,128,,,,,,,,,,
129,2020,15,서초구,4018473,129,,,,,,,,,,
130,2020,15,서초구,3897951,130,,,,,,,,,,
131,2020,15,서초구,4606379,131,,,,,,,,,,
132,2020,15,서초구,5198665,132,,,,,,,,,,
133,2020,15,서초구,4711183,133,,,,,,,,,,
134,2020,15,서초구,2741714,134,,,,,,,,,,
135,2020,15,서초구,4282863,135,,,,,,,,,,
136,2020,15,서초구,3424204,136,,,,,,,,,,
137,2020,15,서초구,3267524,137,,,,,,,,,,
138,2020,15,서초구,4513409,138,,,,,,,,,,
139,2020,15,서초구,4774707,139,,,,,,,,,,
140,2020,15,서초구,4172175,140,,,,,,,,,,
141,2020,15,서초구,3916261,141,,,,,,,,,,
142,2020,15,서초구,5013914,142,,,,,,,,,,
143,2020,15,서초구,2163278,143,,,,,,,,,,
144,2020,15,서초구,3242512,144,,,,,,,,,,
145,2020,15,서초구,4036394,145,,,,,,,,,,
146,2020,15,서초구,3245872,146,,,,,,,,,,
147,2020,15,서초구,4539815,147,,,,,,,,,,
148,2020,15,서초구,3210967,148,,,,,,,,,,
