index,g3b4,gu,dong,high_count,low_count,high_bus_sum,low_bus_sum,high_sub_average,low_sub_average,year
95,0,성북구,성북동1가,1,0,5,0,252.4552003,0,2019
96,0,성북구,안암동5가,8,2,26,8,180.7011024,97.67126999,2019
97,0,성북구,장위동,0,1,0,5,0,975.8170594,2019
98,0,성북구,정릉동,0,3,0,10,0,527.33486,2019
99,0,성북구,종암동,2,1,6,3,647.2619852,700.6959788,2019
100,0,성북구,하월곡동,2,3,7,10,358.1192477,355.498077,2019
101,1,송파구,가락동,4,4,9,2,364.7116701,202.3140289,2019
102,1,송파구,거여동,0,1,0,2,0,383.8417141,2019
103,1,송파구,문정동,9,4,17,0,274.5985945,542.4242822,2019
104,1,송파구,방이동,8,1,12,2,361.9147212,229.750648,2019
105,1,송파구,삼전동,1,1,0,1,352.3537064,580.516682,2019
106,1,송파구,석촌동,1,0,2,0,410.1451579,0,2019
107,1,송파구,송파동,2,0,2,0,356.4591763,0,2019
108,1,송파구,신천동,5,5,13,2,280.3924584,432.9057769,2019
109,1,송파구,오금동,2,0,5,0,190.955176,0,2019
110,1,송파구,잠실동,7,2,9,6,551.5561832,308.9817883,2019
111,1,송파구,장지동,2,2,6,3,1749.685274,1444.217806,2019
112,1,송파구,풍납동,0,1,0,1,0,458.5896621,2019
113,1,강남구,개포동,1,2,5,6,1029.502173,224.1385656,2020
114,1,강남구,논현동,23,1,61,3,398.5017641,712.6303681,2020
115,1,강남구,대치동,33,5,64,7,491.2768598,512.2297519,2020
116,1,강남구,도곡동,8,0,33,0,442.3544693,0,2020
117,1,강남구,삼성동,27,1,54,3,458.9201532,393.8067463,2020
118,1,강남구,수서동,4,0,21,0,230.3609284,0,2020
119,1,강남구,신사동,19,2,29,5,392.681883,344.683762,2020
120,1,강남구,압구정동,1,0,0,0,923.8794372,0,2020
121,1,강남구,역삼동,48,1,137,2,348.7067259,738.2969968,2020
122,1,강남구,일원동,2,0,3,0,421.7437032,0,2020
123,1,강남구,청담동,15,0,26,0,426.5044828,0,2020
124,0,강북구,미아동,3,3,16,13,363.6799498,238.4353651,2020
125,0,강북구,번동,2,0,14,0,558.622614,0,2020
126,0,강북구,수유동,2,3,13,9,644.0123087,715.42745,2020
127,0,강북구,우이동,0,3,0,6,0,237.2399222,2020
128,0,노원구,공릉동,2,1,10,2,137.9167678,376.7382889,2020
129,0,노원구,상계동,7,8,25,34,374.9470076,357.7708154,2020
130,0,노원구,월계동,3,2,8,16,234.8263133,114.4164909,2020
131,0,노원구,중계동,2,3,9,11,1157.976546,779.5168477,2020
132,0,도봉구,도봉동,0,1,0,6,0,246.4024434,2020
133,0,도봉구,방학동,0,3,0,13,0,525.4217765,2020
134,0,도봉구,쌍문동,0,2,0,7,0,730.2136958,2020
135,0,도봉구,창동,2,1,8,3,546.4021541,678.8990037,2020
136,1,서초구,반포동,13,0,42,0,455.9670512,0,2020
137,1,서초구,방배동,16,1,72,1,357.8910915,539.2119321,2020
