표준ID,ARS-ID,정류소명,X좌표,Y좌표,NUMPOINTS
"109000047","10132",도봉시장,127.046703946,37.6736710635,"0"
"109000048","10133",도봉구청,127.0462623743,37.66895876,"0"
"109000049","10134",도봉구청,127.0462595746,37.6699195041,"0"
"109000050","10135",방학1동대상타운현대삼성아파트,127.0463737864,37.6656697049,"2"
"109000051","10136",방학1동대상타운현대삼성아파트,127.046104803,37.6662490718,"2"
"109000052","10137",창동쌍용.성원아파트,127.0494288454,37.6603426856,"0"
"109000053","10138",창동쌍용아파트,127.048789,37.660493,"0"
"109000054","10139",자운고등학교앞,127.049898388,37.6589362627,"0"
"109000055","10140",자운고등학교앞,127.0497642743,37.6586779265,"0"
"109000056","10141",창동동아청솔아파트,127.0497976351,37.6564341043,"0"
"109000057","10142",창동동아청솔아파트,127.0496711298,37.6566688196,"0"
"109000058","10143",창동농협물류센터,127.0501721879,37.6550551585,"0"
"109000059","10144",창동농협물류센터,127.0512834419,37.6541143517,"0"
"109000060","10145",창동농협물류센터,127.0508582954,37.6538684346,"0"
"109000061","10146",창동역동측,127.0507211742,37.6532603021,"0"
"109000062","10147",창동동아아파트,127.05152026,37.6517607648,"0"
"109000063","10148",창동동아아파트,127.0514919154,37.6515035276,"0"
"109000064","10149",창동주공19단지,127.0523639376,37.6490347551,"0"
"109000065","10150",창동주공19단지,127.0521498757,37.6492607574,"0"
"109000066","10151",창동주공18단지,127.053040099,37.647062264,"0"
"109000067","10152",창동주공18단지,127.0528829664,37.6472820487,"0"
"109000068","10153",도봉산입구,127.0404784606,37.6870220782,"0"
"109000069","10154",도봉고등학교,127.044031701,37.687305618,"0"
"109000070","10155",도봉고등학교,127.0435886221,37.6873827176,"0"
"109000071","10156",도봉역,127.0465436887,37.6803480746,"0"
"109000072","10157",도봉역,127.0470369061,37.68028802,"0"
"109000073","10158",노원교,127.0490499119,37.6794739501,"0"
"109000074","10159",노원교,127.0490485359,37.6795488019,"0"
"109000075","10160",성대야구장노원교앞,127.0494168406,37.6790240557,"0"
"109000076","10161",천주교도봉동교회,127.0428130353,37.6711984321,"0"
"109000077","10162",천주교도봉동교회,127.0428050248,37.6712424849,"0"
"109000078","10163",오봉초등학교,127.0391573242,37.6705511093,"0"
"109000079","10164",오봉초등학교,127.0395822403,37.6708069548,"0"
"109000080","10165",방학2동공영주차장,127.03646747,37.6693429401,"0"
"109000081","10166",방학2동공영주차장,127.0367693979,37.6695299081,"0"
"109000082","10167",방학2동주민센터,127.0346663305,37.6681633415,"0"
"109000083","10168",방학2동주민센터,127.0346731838,37.6682256602,"0"
"109900164","10172",신방학중학교앞,127.0277758873,37.6633727093,"0"
"109000088","10173",방학동신우빌라,127.0350739096,37.6640883582,"4"
"109000089","10174",방학동신우빌라,127.0349534663,37.664081487,"4"
"109000090","10175",방학동삼익세라믹,127.0348420667,37.6618423767,"0"
"109000091","10176",방학동삼익세라믹,127.0347586606,37.661760612,"0"
"109000092","10177",쌍문동청구아파트,127.0350656888,37.6595712928,"2"
"109000093","10178",쌍문동청구아파트,127.0350223664,37.6591650554,"2"
"109000094","10179",샘말어린이공원,127.0318164507,37.6686675882,"0"
"109000095","10180",방학중학교정문,127.0343875286,37.6664573402,"0"
"109000096","10181",방학중학교정문,127.0343109269,37.6663969898,"0"
"109000097","10182",신한은행방학동지점,127.0373690093,37.6630859283,"0"
"109000098","10183",신한은행방학동지점,127.0372019654,37.6632320354,"0"
"109000099","10184",연산군.정의공주묘,127.0229367152,37.6618578473,"0"
"109000100","10185",연산군정의공주묘,127.0237625884,37.6615677283,"0"
"109000101","10186",방학동신동아타워,127.0281056464,37.6617218631,"0"
"109000102","10187",방학동신동아타워,127.0287003854,37.6618970843,"0"
"109000103","10188",방학3동신동아프라자,127.0275694633,37.6613774456,"0"
"109000104","10189",방학동신동아아파트,127.0313754716,37.6620339712,"0"
"109000105","10190",방학동신동아아파트,127.0320972361,37.6622433613,"0"
"109000106","10191",국민은행방학지점,127.0343256171,37.6623771141,"0"
"109000107","10192",국민은행방학지점,127.0343500186,37.66251035,"0"
"109000108","10193",신한은행방학동지점,127.0369959945,37.6626891297,"0"
"109000109","10194",신한은행방학동지점,127.0370122863,37.6628212482,"0"
"109000110","10195",방학사거리,127.0404982794,37.6627131339,"0"
"109000111","10196",방학사거리,127.0405782359,37.6628556151,"0"
