code,cafe_nm,gu_code,gu,dong_cd,dong,gibun,road,lng,lat,year,NUMPOINTS,HubName,HubDist,cafe_cd,,high_count,low_count,high_bus_sum,low_bus_sum,high_sub_average,low_sub_average,high_count,low_count,high_bus_sum,low_bus_sum,high_sub_average,low_sub_average,high_count,low_count,high_bus_sum,low_bus_sum,high_sub_average,low_sub_average
20482725,스타벅스,11680,강남구,1168010300,개포동,서울특별시 강남구 개포동 1229-1,서울특별시 강남구 논현로,127.0451163,37.47781003,2018,5,매봉역,1029.502173,1,,1,0,5,0,1029.502173,0,1,2,5,6,1029.502173,224.1385656,1,2,5,6,1029.502173,224.1385656
20482725,스타벅스,11680,강남구,1168010300,개포동,서울특별시 강남구 개포동 1229-1,서울특별시 강남구 논현로,127.0451163,37.47781003,2019,5,매봉역,1029.502173,1,,1,0,5,0,1029.502173,0,1,2,5,6,1029.502173,224.1385656,1,2,5,6,1029.502173,224.1385656
20482725,스타벅스,11680,강남구,1168010300,개포동,서울특별시 강남구 개포동 1229-1,서울특별시 강남구 논현로,127.0451163,37.47781003,2020,5,매봉역,1029.502173,1,,1,0,5,0,1029.502173,0,1,2,5,6,1029.502173,224.1385656,1,2,5,6,1029.502173,224.1385656
17158063,메가엠지씨,11680,강남구,1168010300,개포동,서울특별시 강남구 개포동 186-4,서울특별시 강남구 개포로82길,127.0677411,37.48865026,2019,3,개포동역,224.1385656,0,,1,0,5,0,1029.502173,0,1,2,5,6,1029.502173,224.1385656,1,2,5,6,1029.502173,224.1385656
16590045,메가커피,11680,강남구,1168010300,개포동,서울특별시 강남구 개포동 186-4,서울특별시 강남구 개포로82길,127.0677411,37.48865026,2019,3,개포동역,224.1385656,0,,1,0,5,0,1029.502173,0,1,2,5,6,1029.502173,224.1385656,1,2,5,6,1029.502173,224.1385656
17158063,메가엠지씨,11680,강남구,1168010300,개포동,서울특별시 강남구 개포동 186-4,서울특별시 강남구 개포로82길,127.0677411,37.48865026,2020,3,개포동역,224.1385656,0,,1,0,5,0,1029.502173,0,1,2,5,6,1029.502173,224.1385656,1,2,5,6,1029.502173,224.1385656
16590045,메가커피,11680,강남구,1168010300,개포동,서울특별시 강남구 개포동 186-4,서울특별시 강남구 개포로82길,127.0677411,37.48865026,2020,3,개포동역,224.1385656,0,,1,0,5,0,1029.502173,0,1,2,5,6,1029.502173,224.1385656,1,2,5,6,1029.502173,224.1385656
25467314,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 1-3,서울특별시 강남구 도산대로,127.0206347,37.5161838,2018,4,신사역,416.5568483,1,,20,2,52,7,419.2474405,421.1096065,22,1,58,5,409.8380982,707.8182626,23,1,61,3,398.5017641,712.6303681
20391638,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 241-7,서울특별시 강남구 선릉로,127.0412398,37.51660516,2018,4,강남구청역,559.672791,1,,20,2,52,7,419.2474405,421.1096065,22,1,58,5,409.8380982,707.8182626,23,1,61,3,398.5017641,712.6303681
23482258,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 238-5,서울특별시 강남구 언주로,127.0357413,37.51491147,2018,5,학동역,357.7660352,1,,20,2,52,7,419.2474405,421.1096065,22,1,58,5,409.8380982,707.8182626,23,1,61,3,398.5017641,712.6303681
20430267,스타벅스논현힐탑,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 216-5,서울특별시 강남구 논현로,127.032255,37.5115851,2018,2,학동역,304.1309253,1,,20,2,52,7,419.2474405,421.1096065,22,1,58,5,409.8380982,707.8182626,23,1,61,3,398.5017641,712.6303681
20028664,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 87,서울특별시 강남구 논현로,127.0307455,37.51460026,2018,5,학동역,96.4758744,1,,20,2,52,7,419.2474405,421.1096065,22,1,58,5,409.8380982,707.8182626,23,1,61,3,398.5017641,712.6303681
6660863,스타벅스커리학동사거리점,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 93-2,서울특별시 강남구 도산대로,127.0379529,37.52239022,2018,2,압구정로데오역,835.8182999,1,,20,2,52,7,419.2474405,421.1096065,22,1,58,5,409.8380982,707.8182626,23,1,61,3,398.5017641,712.6303681
8736083,스타벅스차병원사거리점,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 235-11,서울특별시 강남구 봉은사로,127.0353547,37.50804228,2018,2,언주역,243.0355443,1,,20,2,52,7,419.2474405,421.1096065,22,1,58,5,409.8380982,707.8182626,23,1,61,3,398.5017641,712.6303681
25585003,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 5-1,서울특별시 강남구 도산대로,127.0233685,37.51734176,2018,0,신사역,479.266333,1,,20,2,52,7,419.2474405,421.1096065,22,1,58,5,409.8380982,707.8182626,23,1,61,3,398.5017641,712.6303681
