field_1,상가업소번호,상호명,시군구코드,시군구명,법정동코드,법정동명,지번주소,도로명,경도,위도,year,HubName,HubDist
"32","23220273",스타벅스,"11650",서초구,"1165010700",반포동,서울특별시 서초구 반포동 748-1,서울특별시 서초구 강남대로,127.023626959081,37.5053148456229,"2018",신논현역,757.827380991377
"33","23210644",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1464-22,서울특별시 서초구 남부순환로,127.012347140463,37.4806673259512,"2018",남부터미널역,715.453086144075
"34","20015708",스타벅스남부터미널2점,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1457-1,서울특별시 서초구 효령로,127.014197798445,37.4843861241449,"2018",남부터미널역,271.455968677929
"35","23517515",스타벅스,"11650",서초구,"1165010700",반포동,서울특별시 서초구 반포동 118-3,서울특별시 서초구 사평대로,127.007826111215,37.5044803619627,"2018",고속터미널역,262.347100459302
"36","22934175",스타벅스,"11680",강남구,"1168010700",신사동,서울특별시 강남구 신사동 529-10,서울특별시 강남구 논현로175길,127.021629292234,37.5231842055575,"2018",신사역,468.307000524995
"37","20385969",스타벅스,"11650",서초구,"1165010600",잠원동,서울특별시 서초구 잠원동 70-1,서울특별시 서초구 잠원로,127.006957982903,37.5102488124166,"2018",반포역,482.277663425877
"38","23224039",스타벅스,"11680",강남구,"1168010400",청담동,서울특별시 강남구 청담동 52-1,서울특별시 강남구 도산대로,127.051571721037,37.5243385164378,"2018",청담역,680.195523057992
"39","20430267",스타벅스논현힐탑,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 216-5,서울특별시 강남구 논현로,127.032255003449,37.5115850987019,"2018",학동역,304.130925346504
"40","20482725",스타벅스,"11680",강남구,"1168010300",개포동,서울특별시 강남구 개포동 1229-1,서울특별시 강남구 논현로,127.045116281379,37.4778100339866,"2018",매봉역,1029.50217282141
"41","20803626",스타벅스삼성도심공항점,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 154-10,서울특별시 강남구 테헤란로87길,127.057908690998,37.5098191857712,"2018",봉은사역,725.243159849156
"42","25292064",스타벅스선정릉역점,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 37-17,서울특별시 강남구 봉은사로,127.044549435311,37.5107751239617,"2018",선정릉역,26.9466719256089
