field_1,상가업소번호,상호명,시군구코드,시군구명,법정동코드,법정동명,지번주소,도로명,경도,위도,year,NUMPOINTS
"58","20388439",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 708-6,서울특별시 강남구 테헤란로,127.048515927976,37.5039411013992,"2018","16"
"59","23312129",스타벅스,"11650",서초구,"1165010700",반포동,서울특별시 서초구 반포동 52-6,서울특별시 서초구 서초중앙로,127.011539185408,37.5016551524635,"2018","17"
"60","25240856",스타벅스강북구청사거리점,"11305",강북구,"1130510300",수유동,서울특별시 강북구 수유동 174-13,서울특별시 강북구 도봉로,127.02732798436,37.6400334380793,"2018","26"
"61","23311558",스타벅스청담사거리점,"11680",강남구,"1168010400",청담동,서울특별시 강남구 청담동 6-5,서울특별시 강남구 도산대로,127.046850137088,37.5237598736832,"2018","11"
"62","23248292",스타벅스방이역점,"11710",송파구,"1171011200",오금동,서울특별시 송파구 오금동 17-8,서울특별시 송파구 마천로,127.126638532343,37.5085452424071,"2018","12"
"63","20691915",스타벅스,"11680",강남구,"1168010700",신사동,서울특별시 강남구 신사동 583-3,서울특별시 강남구 논현로,127.027896853364,37.5240469060232,"2018","10"
"64","23196601",스타벅스서초파라곤점,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1327-29,서울특별시 서초구 서초대로74길,127.027403494967,37.494938817542,"2018","41"
"65","20378251",스타벅스신압구정점,"11680",강남구,"1168010700",신사동,서울특별시 강남구 신사동 639-7,서울특별시 강남구 언주로174길,127.036420025086,37.5281084112342,"2018","11"
"66","23454449",스타벅스,"11650",서초구,"1165010200",양재동,서울특별시 서초구 양재동 14-4,서울특별시 서초구 강남대로,127.036850060857,37.4823203167867,"2018","27"
"67","23513141",스타벅스올림픽공원남문점,"11710",송파구,"1171011100",방이동,서울특별시 송파구 방이동 181,서울특별시 송파구 위례성대로,127.122996982138,37.5133299197545,"2018","14"
"68","20007418",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1307-19,서울특별시 서초구 서초대로77길,127.025481611828,37.5001130565393,"2018","43"
