year,gu_num,gu,dong,pop_avg
2020,0,성북구,종암동,4268127.35
2020,0,성북구,하월곡동,5295861.917
2020,1,송파구,가락동,4673559.786
2020,1,송파구,마천동,5327755.875
2020,1,송파구,문정동,5082128.5
2020,1,송파구,방이동,5326691.75
2020,1,송파구,삼전동,5355901.688
2020,1,송파구,석촌동,5186843.833
2020,1,송파구,송파동,5279196.083
2020,1,송파구,오금동,3409494.75
2020,1,송파구,잠실동,7837713.75
2020,1,송파구,풍납동,6319992.25
