field_1,code,cafe_nm,gu_code,gu,dong_cd,dong,gibun,road,lng,lat,year,NUMPOINTS,HubName,HubDist,cafe_cd,star,coffee,paul,mega,paik,com,high,low,total
0,20288646,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 168-26,서울특별시 강남구 테헤란로103길,127.0638782,37.51003785,2018,4,봉은사역,528.7146482,1,41,19,12,0,3,1,72,4,76
1,25467314,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 1-3,서울특별시 강남구 도산대로,127.0206347,37.5161838,2018,4,신사역,416.5568483,1,32,25,8,1,2,1,65,4,69
2,25576902,스타벅스,11710,송파구,1171011100,방이동,서울특별시 송파구 방이동 180-8,서울특별시 송파구 위례성대로,127.1163168,37.51578507,2018,1,한성백제역,128.2724553,1,16,11,0,0,2,0,27,2,29
3,5133712,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 159,서울특별시 강남구 영동대로,127.0571003,37.5129394,2018,2,봉은사역,580.9949686,1,41,19,12,0,3,1,72,4,76
4,20545007,스타벅스,11710,송파구,1171010700,가락동,서울특별시 송파구 가락동 79,서울특별시 송파구 중대로,127.1215333,37.49440578,2018,4,가락시장역,336.5378535,1,13,1,0,4,4,2,14,10,24
5,20003237,스타벅스,11710,송파구,1171010500,석촌동,서울특별시 송파구 석촌동 286-9,서울특별시 송파구 백제고분로,127.1060134,37.50424607,2018,2,석촌역,410.1451579,1,4,0,0,0,0,0,4,0,4
6,20706065,스타벅스,11290,성북구,1129013600,하월곡동,서울특별시 성북구 하월곡동 46-73,서울특별시 성북구 화랑로,127.0404418,37.60181969,2018,2,월곡역,87.64121512,1,6,0,0,4,2,0,6,6,12
7,23271125,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 1024,서울특별시 강남구 도곡로,127.0552134,37.4966152,2018,2,한티역,430.3567195,1,39,48,3,6,6,2,90,14,104
8,20009393,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1318-8,서울특별시 서초구 강남대로,127.0268289,37.49825898,2018,6,강남역,739.5169922,1,52,62,14,5,6,1,128,14,142
9,20488763,스타벅스,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 84-3,서울특별시 강남구 선릉로,127.0405131,37.52653786,2018,0,압구정로데오역,329.2732012,1,21,15,9,0,2,0,45,2,47
10,20325090,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 53,서울특별시 강남구 학동로,127.0514396,37.51868785,2018,4,강남구청역,374.9359893,1,41,19,12,0,3,1,72,4,76
11,20082320,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1439-14,서울특별시 서초구 남부순환로339길,127.0215728,37.48591615,2018,3,남부터미널역,555.142941,1,52,62,14,5,6,1,128,14,142
12,20006883,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1327-5,서울특별시 서초구 서초대로78길,127.027735,37.49553624,2018,7,강남역,440.2823782,1,52,62,14,5,6,1,128,14,142
13,20391638,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 241-7,서울특별시 강남구 선릉로,127.0412398,37.51660516,2018,4,강남구청역,559.672791,1,32,25,8,1,2,1,65,4,69
14,20250808,스타벅스,11290,성북구,1129012500,안암동5가,서울특별시 성북구 안암동5가 92,서울특별시 성북구 인촌로,127.0307477,37.5860984,2018,5,안암역,118.5892963,1,15,8,0,3,2,0,23,5,28
15,23321462,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 830-69,서울특별시 강남구 역삼로,127.0330005,37.49412876,2018,2,강남역,281.4703543,1,71,59,3,3,9,0,134,12,146
