구,동,전용면적,년,월,거래금액(,면적금액,층,건축년도,도로명
강남구,개포동,77.75,2020,6,149500,1923,4,1988,강남구 언주로 103
강남구,개포동,54.98,2020,2,144000,2619,4,1987,강남구 언주로 3
강남구,개포동,59.92,2020,12,193000,3221,5,2020,강남구 개포로 264
강남구,개포동,133.46,2020,1,220000,1648,3,1984,강남구 개포로 307
강남구,개포동,134.3,2020,1,203000,1512,17,2004,강남구 개포로109길 69
강남구,개포동,42.55,2020,2,192000,4512,4,1982,강남구 개포로 310
강남구,개포동,56.57,2020,3,309500,5471,4,1982,강남구 선릉로 7
강남구,개포동,61.19,2020,2,177000,2893,14,1983,강남구 삼성로4길 17
강남구,개포동,60.13,2020,1,180000,2994,14,1983,강남구 개포로 516
강남구,개포동,96.98,2020,2,197000,2031,2,1984,강남구 언주로 110
강남구,개포동,69.55,2020,8,62000,891,4,2001,강남구 논현로2길 61-4
강남구,개포동,94.29,2020,1,285000,3023,12,2019,강남구 삼성로 11
강남구,개포동,59.897,2020,1,188000,3139,4,2019,강남구 선릉로 8
강남구,개포동,84.16,2020,3,62000,737,6,2002,강남구 논현로2길 62
강남구,개포동,107.88,2020,8,80500,746,5,2004,강남구 개포로28길 28
강남구,개포동,60,2020,1,146000,2433,14,1992,강남구 개포로109길 21
강남구,개포동,161.07,2020,2,215000,1335,6,2003,강남구 개포로 405
강남구,개포동,73.5,2020,7,64000,871,4,2000,강남구 논현로2길 34
강남구,개포동,57.93,2020,9,53000,915,6,2000,강남구 논현로2길 38
강남구,개포동,49.86,2020,1,124500,2497,6,1992,강남구 개포로109길 9
강남구,개포동,59.96,2020,2,34300,572,3,2001,강남구 논현로2길 22
강남구,개포동,78.93,2020,6,91000,1153,7,1987,강남구 개포로 411
강남구,개포동,84.9,2020,2,199947,2355,9,1991,강남구 개포로 311
강남구,개포동,100.5,2020,6,77500,771,5,2006,강남구 개포로31길 3-12
강남구,개포동,84.69,2020,12,72500,856,5,2001,강남구 양재대로 379
강남구,개포동,72.78,2020,10,72000,989,6,2002,강남구 논현로2길 50
