상가업소번호,지점명,시군구명,도로명주소,경도,위도
11662951,대학로점,종로구,서울특별시 종로구 대학로 122,127.002233,37.58218456
25964875,한티점,강남구,서울특별시 강남구 선릉로64길 18,127.0537151,37.49794579
20585779,동숭로아트점,종로구,서울특별시 종로구 동숭길 110,127.003887,37.58296442
20015708,남부터미널2점,서초구,서울특별시 서초구 효령로 274,127.0141978,37.48438612
22934175,가로수길점,강남구,서울특별시 강남구 논현로175길 94,127.0216293,37.52318421
28520216,미아사거리역점,강북구,서울특별시 강북구 도봉로 32,127.0306855,37.61184062
23320126,당산점,영등포구,서울특별시 영등포구 양평로 64,126.899952,37.53513359
23456329,문래역점,영등포구,서울특별시 영등포구 당산로 34,126.8964787,37.51744978
23455005,서강대점,마포구,서울특별시 마포구 백범로 23,126.9375433,37.55242638
23375653,중랑구청점,중랑구,서울특별시 중랑구 신내로 72,127.0956531,37.60540032
16095836,봉은사로선정릉점,강남구,서울특별시 강남구 봉은사로 446,127.048501,37.51135667
16129812,방배다이치빌딩점,서초구,서울특별시 서초구 방배로 114,126.9960731,37.48433262
20385969,뉴코아강남점,서초구,서울특별시 서초구 잠원로 69,127.006958,37.51024881
20585052,영풍문고점,종로구,서울특별시 종로구 청계천로 41,126.9821598,37.56965992
23224039,청담점,강남구,서울특별시 강남구 도산대로 532,127.0515717,37.52433852
20830249,구로디지털로점,구로구,서울특별시 구로구 디지털로33길 11,126.8954986,37.48569681
20405237,연신내역,은평구,서울특별시 은평구 연서로 216,126.9201098,37.61780045
23517515,파미에파크점,서초구,서울특별시 서초구 사평대로 205,127.0078261,37.50448036
5133712,코엑스몰점,강남구,서울특별시 강남구 영동대로 513,127.0571003,37.5129394
20675651,구로에이스트윈타워1점,구로구,서울특별시 구로구 디지털로 285,126.8944876,37.48447995
20316406,종로관수점,종로구,서울특별시 종로구 삼일대로20길 13,126.9886564,37.56974278
20430267,논현힐탑,강남구,서울특별시 강남구 논현로 648,127.032255,37.5115851
23264112,발산역점,강서구,서울특별시 강서구 강서로 388,126.8392902,37.5601783
20482725,포이점,강남구,서울특별시 강남구 논현로 88,127.0451163,37.47781003
25957991,오목교사거리점,양천구,서울특별시 양천구 오목로 350,126.8762541,37.52414303
25928281,청담역점,강남구,서울특별시 강남구 삼성로 646,127.051147,37.51767632
25449246,을지로입구,중구,서울특별시 중구 남대문로10길 9,126.9832121,37.56720013
23197283,교대역점,서초구,서울특별시 서초구 서초중앙로 138,127.0139553,37.49423264
20691462,방배역점,서초구,서울특별시 서초구 방배로 84,126.9976309,37.48198508
20687712,이마트본사점,성동구,서울특별시 성동구 뚝섬로 377,127.053479,37.53992399
16219813,양재강남빌딩R점,강남구,서울특별시 강남구 남부순환로 2621,127.036609,37.48524679
20675102,이마빌딩점,종로구,서울특별시 종로구 종로1길 42,126.9789664,37.57389426
25850418,황학캐슬점,중구,서울특별시 중구 청계천로 400,127.0214482,37.57080306
25730277,고대프라자점,성북구,서울특별시 성북구 인촌로 105,127.0309577,37.58648758
25467314,신사역점,강남구,서울특별시 강남구 도산대로 108,127.0206347,37.5161838
16219933,마곡사이언스타워R점,강서구,서울특별시 강서구 마곡동로 62,126.8338743,37.5605394
25798424,소공로북창점,중구,서울특별시 중구 세종대로18길 32,126.9789243,37.56371214
25885860,IFC몰점,영등포구,서울특별시 영등포구 국제금융로 10,126.9248631,37.52517222
23369079,등촌점,강서구,서울특별시 강서구 공항대로 329,126.8443343,37.5582365
23097527,순천향입구점,용산구,서울특별시 용산구 대사관로 67,127.0056326,37.53341267
19999786,신림점,관악구,서울특별시 관악구 신림로 355-1,126.9291549,37.48608776
20391638,강남구청역점,강남구,서울특별시 강남구 선릉로 669,127.0412398,37.51660516
19969315,서울대입구역점,관악구,서울특별시 관악구 남부순환로 1812,126.9513192,37.48110554
12088372,신세계본점,중구,서울특별시 중구 퇴계로 77,126.9807585,37.56034908
12108712,남영동점,용산구,서울특별시 용산구 한강대로 275,126.9722381,37.54285805
23321462,역삼초교사거리점,강남구,서울특별시 강남구 역삼로 123,127.0330005,37.49412876
20250808,안암역점,성북구,서울특별시 성북구 인촌로 102-2,127.0307477,37.5860984
12111337,양천향교역,강서구,서울특별시 강서구 강서로 471,126.8405586,37.56743505
12111408,화곡DT점,강서구,서울특별시 강서구 등촌로 57,126.8631698,37.53500146
12111546,마포염리점,마포구,서울특별시 마포구 독막로 311,126.9474628,37.54399137
19983721,문화일보점,중구,서울특별시 중구 새문안로 22,126.9686221,37.56711862
20386874,여의도점,영등포구,서울특별시 영등포구 국제금융로2길 28,126.924483,37.52406949
23003316,상일동점,강동구,서울특별시 강동구 상일로10길 36,127.174087,37.55071373
20006883,강남삼성타운점,서초구,서울특별시 서초구 서초대로78길 24,127.027735,37.49553624
23473401,구의디티점,광진구,서울특별시 광진구 광나루로 519,127.0871794,37.54529828
12228306,동대입구역점,중구,서울특별시 중구 장충단로 166,127.0061331,37.55963733
20598319,마로니에공원점,종로구,서울특별시 종로구 대학로 116,127.002321,37.58152755
25585003,도산가로수길점,강남구,서울특별시 강남구 도산대로 134,127.0233685,37.51734176
20478915,문래동점,영등포구,서울특별시 영등포구 선유로 64,126.8896814,37.5196567
20017739,신세계도곡점,강남구,서울특별시 강남구 언주로30길 57,127.0541634,37.48929922
20254764,구산역점,은평구,서울특별시 은평구 연서로 146,126.9176933,37.61181349
20379604,숭실대점,동작구,서울특별시 동작구 사당로 4,126.9548399,37.49540038
19963699,신촌점,서대문구,서울특별시 서대문구 연세로 10-1,126.937101,37.55647708
