상가업소번호,지점명,시군구명,도로명주소,경도,위도
17121297,구의역점,광진구,서울특별시 광진구 아차산로 380,127.0849883,37.53661319
11992360,영등포구청점,영등포구,서울특별시 영등포구 당산로 113,126.8961092,37.52487091
26312498,역전우동041,동작구,서울특별시 동작구 사당로17길 3,126.9742843,37.4834967
17106995,양재시민의숲역,서초구,서울특별시 서초구 마방로2길 94,127.039796,37.46946816
12079461,천왕역점,구로구,서울특별시 구로구 오리로 1149,126.8382361,37.48658925
16689989,월곡래미안점,성북구,서울특별시 성북구 오패산로 98,127.0356367,37.61084499
25371827,영등포신세계점,영등포구,서울특별시 영등포구 영중로 5,126.9061598,37.516819
11981868,당산역점,영등포구,서울특별시 영등포구 양평로 28-1,126.9032122,37.53348798
16669344,가산두산위브점,금천구,서울특별시 금천구 가산로 99,126.8912751,37.4761512
17119544,신림난곡점,관악구,서울특별시 관악구 난곡로 178,126.9200324,37.47098422
16684674,답십리사거리점,동대문구,서울특별시 동대문구 전농로 97-1,127.0572634,37.5736715
17135582,굽은다리역점,강동구,서울특별시 강동구 양재대로 1576,127.1434352,37.54615227
17128615,오류동역남부점,구로구,서울특별시 구로구 오류로8길 64,126.8438459,37.49237492
17107775,응암대림시장점,은평구,서울특별시 은평구 응암로 169,126.9162041,37.58720165
12002176,구로디지털역점,구로구,서울특별시 구로구 디지털로32길 79,126.8997365,37.48354681
25224739,불광역점,은평구,서울특별시 은평구 통일로 738,126.9293879,37.61140658
12079327,까치산역점,강서구,서울특별시 강서구 강서로 48,126.8467163,37.53219287
9671976,강남구,강남구,서울특별시 강남구 봉은사로 524,127.0571003,37.5129394
28411168,노원구,송파구,서울특별시 송파구 올림픽로35길 104,127.0984584,37.51645205
17113100,수유역점,강북구,서울특별시 강북구 도봉로 352,127.0270285,37.63867041
12611054,노원역북부점,노원구,서울특별시 노원구 상계로3길 21,127.0622603,37.65720166
11932265,망원시장점,마포구,서울특별시 마포구 월드컵로13길 34,126.9082408,37.55564608
12486219,구파발역미켈란점,은평구,서울특별시 은평구 진관2로 15-8,126.9195381,37.63538328
25250881,대치동학원가점,강남구,서울특별시 강남구 도곡로77길 8,127.058634,37.49889516
11954409,청량리역점,동대문구,서울특별시 동대문구 왕산로 209,127.0458496,37.58096836
25275058,압구정로데오점,강남구,서울특별시 강남구 선릉로161길 25,127.0383637,37.52740341
17159155,합정역점,마포구,서울특별시 마포구 월드컵로1길 14,126.9120459,37.5500407
17146845,강서블루나인점,강서구,서울특별시 강서구 양천로 583,126.8643281,37.557106
17140638,올림픽북단점,광진구,서울특별시 광진구 아차산로 480,127.0952274,37.54044948
17147137,구로KT점,관악구,서울특별시 관악구 남부순환로 1377,126.9037329,37.48010591
17143995,선유도역점,영등포구,서울특별시 영등포구 양평로 120,126.894357,37.53781148
17143641,상왕십리역점,성동구,서울특별시 성동구 왕십리로 363-1,127.0295507,37.56404003
12451970,신사역점,강남구,서울특별시 강남구 도산대로11길 34,127.0225229,37.51972256
12467150,신설동역1호점,동대문구,서울특별시 동대문구 왕산로 20,127.025782,37.57616407
17137373,창동역점,도봉구,서울특별시 도봉구 마들로11길 57,127.0501353,37.65350052
25288316,중앙대병원점,동작구,서울특별시 동작구 흑석로 93,126.9597961,37.50741907
23370656,강북구청점,강북구,서울특별시 강북구 도봉로87길 48,127.02326,37.6391889
25233906,가락시장역점,송파구,서울특별시 송파구 송파대로28길 27,127.1200802,37.49488154
25412691,구로삼성IT점,구로구,서울특별시 구로구 디지털로33길 27,126.8946567,37.48604936
25255672,우장산역점,강서구,서울특별시 강서구 강서로 245,126.8359891,37.54755838
26213879,서여의도점,영등포구,서울특별시 영등포구 국회대로68길 11,126.9196571,37.52922446
16403505,KBS본관점,영등포구,서울특별시 영등포구 의사당대로 38,126.9181942,37.52554382
16171507,신대방역점,관악구,서울특별시 관악구 난곡로 363,126.9134456,37.48632277
11781347,남대문시장점,중구,서울특별시 중구 퇴계로 37,126.9763138,37.55843645
25578507,구로로제리움점,구로구,서울특별시 구로구 가마산로26길 5,126.8909805,37.49607959
15954205,발산역플레이스점,강서구,서울특별시 강서구 강서로 395,126.8385976,37.56104549
25431707,대학로CGV점,종로구,서울특별시 종로구 대학로 143,127.0012914,37.58402373
25042368,신용산역점,용산구,서울특별시 용산구 새창로 213,126.967249,37.53046119
25230357,은평초교점,은평구,서울특별시 은평구 은평로 235,126.9339061,37.60116671
25253498,노원구,노원구,서울특별시 노원구 노해로 482,127.0616965,37.65426882
16587969,낙성대역점,관악구,서울특별시 관악구 남부순환로 1919,126.9626053,37.47768205
25365552,신촌역점,서대문구,서울특별시 서대문구 연세로2길 6,126.9371323,37.55586466
17213451,상도E편한점,동작구,서울특별시 동작구 만양로 6,126.9469376,37.50488132
17206021,방학역점,도봉구,서울특별시 도봉구 도봉로153길 20,127.0423302,37.67001639
17098663,화곡역점,강서구,서울특별시 강서구 화곡로25길 2,126.8384841,37.54137482
28466166,어린이대공원역점,광진구,서울특별시 광진구 광나루로 381-1,127.0723089,37.54809278
14057824,명동중앙우체,중구,서울특별시 중구 남대문로 58-1,126.9818508,37.56242189
24347873,마포구,마포구,서울특별시 마포구 마포대로4길 16,126.946484,37.53875659
27951583,강남역지하도점,강남구,서울특별시 강남구 강남대로 396,127.0282892,37.49815386
25259337,강남소망점,강남구,서울특별시 강남구 언주로159길 3,127.0326234,37.52422988
23424299,원효용문시장점,용산구,서울특별시 용산구 새창로 132,126.9612251,37.53569749
17086639,방이시장점,송파구,서울특별시 송파구 백제고분로48길 6,127.1138556,37.51154968
