상권_코드,상권_코드_명,id,구,총_유동인구_수,2020_총_유동인구_수_합격(상권코드),2019_총_유동인구_수_합격(상권코드),2018_총_유동인구_수_합격(상권코드)
1000899,논현로159길,1,강남구,3537164,14394080,14434887,7639349
1000898,논현로139길,1,강남구,3593599,15115112,15091738,7466245
1000897,논현로123길,1,강남구,3847955,16337361,15435438,3873104
1000896,논현로115길,1,강남구,6142013,25244539,24211948,11344735
1000895,논현로10길,1,강남구,3248849,13321589,12972007,3035412
1000894,논현로106길,1,강남구,4041107,16631416,15764465,10032554
1000893,남부순환로365길,18,송파구,4083361,16717565,16288656,5762590
1000892,개포로82길,1,강남구,626361,2641050,1962745,546816
1000891,개포로28길,1,강남구,2343374,9583021,10914605,3192658
1000890,개포로20길,1,강남구,3548927,14375309,14591833,4224328
1000889,개포로17길,1,강남구,2642545,10650132,11713686,3949493
1000888,강남대로140길,1,강남구,3329588,13831807,13834070,8758894
1000887,강남대로136길,1,강남구,4189847,18064920,17528667,8676545
1000886,강남대로118길,1,강남구,4788690,19946466,19959877,6941166
1000885,서초중앙로8길,15,서초구,4100128,17502357,18676324,7167373
1000884,방배중앙로21길,15,서초구,4417652,18767816,18293486,5803577
1000883,효령로72길,15,서초구,3196575,12763040,14013694,5677183
1000882,효령로34길,15,서초구,2135225,8203331,8862338,4241017
1000881,효령로31길,15,서초구,4018473,15855379,16054071,6692097
1000880,효령로23길,15,서초구,3897951,15132816,15444695,6518741
1000879,청두곶길,15,서초구,4606379,19494247,20058779,7340653
1000878,주흥길,15,서초구,5198665,21985458,21810489,9730490
1000877,주흥15길,15,서초구,4711183,19933025,19990409,9537946
1000876,언남길,15,서초구,2741714,10811717,10440917,3393907
1000875,신반포로45길,15,서초구,4282863,17678380,18065244,8505238
1000874,서초대로8길,15,서초구,3424204,13648380,13985068,5382710
1000873,서초대로64길,15,서초구,3267524,13579860,15627116,5525018
1000872,서초대로4길,15,서초구,4513409,19221302,20826675,12786705
