기준_년_코드,기준_분기_코드,상권_코드,상권_코드_명,id,구,총_유동인구_수,2020_총_유동인구_수_평균(상권코드),2019_총_유동인구_수_평균(상권코드),2018_총_유동인구_수_평균(상권코드)
2020,4,1000928,선릉로18길,1,강남구,949507,933599,858691,204526
2020,4,1000927,선릉로146길,1,강남구,4187298,4283549,4007361,1623150
2020,4,1000926,선릉로133길,1,강남구,4912092,4965842,4787740,2515304
2020,4,1000925,선릉로132길,1,강남구,6554681,6686709,6322371,2809563
2020,4,1000924,선릉로121길,1,강남구,4779857,4992169,5184790,2475564
2020,4,1000923,삼성로75길,1,강남구,7050002,7252982,6967076,3172425
2020,4,1000922,삼성로69길,1,강남구,6454369,6646364,6516502,2432309
2020,4,1000921,삼성로64길,1,강남구,4055834,4049981,3997149,1627340
2020,4,1000920,삼성로63길,1,강남구,6028388,6131646,6065358,2571326
2020,4,1000919,삼성로57길,1,강남구,5253750,5215712,4900430,2068387
2020,4,1000918,삼성로147길,1,강남구,3865778,3977965,3725975,1402254
2020,4,1000917,삼성로115길,1,강남구,3956518,4120735,3789726,1164655
2020,4,1000916,봉은사로68길,1,강남구,3689705,3802451,3646584,1572216
2020,4,1000915,봉은사로57길,1,강남구,3582447,3774549,3876546,1416883
2020,4,1000914,봉은사로43길,1,강남구,5650636,5827111,5806805,2317577
2020,4,1000913,봉은사로29길,1,강남구,5949088,5883028,5604180,3041597
2020,4,1000912,봉은사로109길,1,강남구,1849785,2074085,2423213,1045212
2020,4,1000911,도산대로89길,1,강남구,2788286,2808520,2599159,759783
2020,4,1000910,도산대로81길,1,강남구,2842170,2818781,2655779,1049324
2020,4,1000909,도산대로50길,1,강남구,4320219,4445558,4345096,2233591
2020,4,1000908,도산대로38길,1,강남구,2293309,2438509,2422409,1264147
2020,4,1000907,도산대로30길,1,강남구,2546282,2694897,2732571,1274276
2020,4,1000906,도산대로23길,1,강남구,3579517,3621233,3641320,1642177
2020,4,1000905,도산대로15길,1,강남구,3700107,3763558,3746639,1747192
2020,4,1000904,도곡로37길,1,강남구,5783167,5985087,5862040,2045447
2020,4,1000903,논현로8길,1,강남구,2097261,2095485,1968487,442454
2020,4,1000902,논현로63길,1,강남구,4388544,4559503,4447647,1662675
2020,4,1000901,논현로28길,1,강남구,2753984,2879807,2866186,1183370
2020,4,1000900,논현로26길,1,강남구,2813838,2857281,2860445,1240585
2020,4,1000899,논현로159길,1,강남구,3537164,3598520,3608722,1909837
2020,4,1000898,논현로139길,1,강남구,3593599,3778778,3772935,1866561
