id_apart,id_구,구,전용면적_median,전용면적_max,전용면적_min,전용면적_mean,거래금액_median,거래금액_max,거래금액_min,거래금액_mean,면적금액_median,면적금액_max,면적금액_min,면적금액_mean,연도
54,4,강서구,73.845,181.17,13.79,72.41898113,65000,162000,7700,67703.28166,944,1884,206,964.6724019,2020
55,5,관악구,76.91,183.4,12.21,73.62728694,64400,136000,9000,61837.52571,859,1653,281,871.0947096,2020
56,6,광진구,84.55,226.75,13.27,84.24948573,105000,269500,8500,106733.9333,1325,2500,342,1291.935609,2020
57,7,구로구,66.122,171.22,13.23,70.97093461,52800,170000,6000,54444.65465,745,1750,165,769.8055556,2020
58,8,금천구,59.97,150.72,12.04,66.72438952,44900,125000,8000,47037.73557,704,1622,203,739.4375736,2020
59,9,노원구,59.24,161.01,12.1072,63.19355382,48500,157000,8000,52191.45852,814,2126,302,843.9296117,2020
60,10,도봉구,68.86,240.97,13.02,69.41340184,42000,140000,6500,45702.54645,632,1356,155,675.1471038,2020
61,11,동대문구,81.05,213.674,11.48,73.95428499,70000,165000,8500,71194.61202,942,2167,352,995.7599384,2020
62,12,동작구,84.78,244.43,12.7071,81.95381291,94000,290000,12400,97813.09155,1184,2737,315,1230.789865,2020
63,13,마포구,84.42,232.36,12.85,77.42926115,96500,240000,13300,101302.3369,1318,2560,428,1344.650389,2020
64,14,서대문구,84.6,242.39,13.03,77.84011692,74100,176000,11000,78526.26477,997,2337,252,1038.793946,2020
65,15,서초구,84.92,273.86,17.35,95.64699464,170000,550000,15000,175013.1431,1755,4378,410,1913.573193,2020
66,16,성동구,84.42,271.38,12.84,79.55115607,108000,670000,12050,114341.0039,1418,3950,316,1471.162447,2020
67,17,성북구,84.09,200.53,14.01,77.68022404,69000,149000,11500,68710.92131,884,1962,233,914.5182381,2020
68,18,송파구,84.79,254.415,14.097,84.76392496,123000,410000,18000,130310.8265,1523,4155,315,1601.215907,2020
69,19,양천구,78.86,241.51,14.02,78.94345291,80000,294500,11450,88982.1127,1013,2765,211,1143.351592,2020
70,20,영등포구,80.92,234.02,12.05,76.19455987,83400,324500,9000,89717.09755,1138,2694,355,1180.126674,2020
71,21,용산구,84.94,317.36,13.01,97.60563499,136000,775000,15000,152195.5793,1540,3971,331,1594.043906,2020
72,22,은평구,84.17,205.96,12.23,78.11871965,63000,153000,8510,62435.46276,817,1741,247,827.6024341,2020
73,23,종로구,80.85,244.937,12.09,77.46315464,74500,321000,8186,80060.83835,911,2590,316,1034.716792,2020
74,24,중구,84.88,244.47,14.08,83.48238117,90750,304000,8300,92267.56585,1110,2079,143,1135.674146,2020
75,25,중랑구,66.254,203.77,12.0156,68.79136993,50000,160000,8300,50919.48621,745,1580,276,759.8662069,2020
