No,year,seoul,gu,emd,pop_total,도로명,도로명_합,경도,위도,상태
50,2020,서울특별시,강남구,개포4동,3548927,개포로20길,서울특별시강남구개포로20길,127.0475071,37.47697141,인근좌표
51,2020,서울특별시,강남구,개포4동,2642545,개포로17길,서울특별시강남구개포로17길,127.0465809,37.47985449,인근좌표
52,2020,서울특별시,강남구,논현1동,3329588,강남대로140길,서울특별시강남구강남대로140길,127.0229061,37.51424944,인근좌표
53,2020,서울특별시,강남구,논현1동,4189847,강남대로136길,서울특별시강남구강남대로136길,127.0211994,37.5134462,인근좌표
54,2020,서울특별시,강남구,논현1동,4788690,강남대로118길,서울특별시강남구강남대로118길,127.0259677,37.50732695,인근좌표
55,2020,서울특별시,강남구,청담동,3975574,학동로77길,서울특별시강남구학동로77길,127.0484708,37.52038143,인근좌표
56,2020,서울특별시,강남구,논현1동,4513457,학동로6길,서울특별시강남구학동로6길,127.023558,37.51097969,인근좌표
57,2020,서울특별시,강남구,삼성2동,6153451,학동로56길,서울특별시강남구학동로56길,127.0428009,37.51563313,인근좌표
58,2020,서울특별시,강남구,논현2동,3659583,학동로38길,서울특별시강남구학동로38길,127.0344855,37.5133268,인근좌표
59,2020,서울특별시,강남구,삼성1동,2512458,테헤란로81길,서울특별시강남구테헤란로81길,127.0559234,37.51064948,인근좌표
60,2020,서울특별시,강남구,일원1동,3487938,일원로9길,서울특별시강남구일원로9길,127.0847752,37.49029792,인근좌표
61,2020,서울특별시,강남구,일원1동,3791332,일원로3길,서울특별시강남구일원로3길,127.0837362,37.49239428,인근좌표
62,2020,서울특별시,강남구,대치2동,4410979,영동대로65길,서울특별시강남구영동대로65길,127.0641207,37.50198703,인근좌표
63,2020,서울특별시,강남구,삼성1동,1754375,영동대로112길,서울특별시강남구영동대로112길,127.0629962,37.51547658,인근좌표
64,2020,서울특별시,강남구,역삼2동,6646037,언주로81길,서울특별시강남구언주로81길,127.0413139,37.49974411,인근좌표
65,2020,서울특별시,강남구,신사동,3410819,압구정로2길,서울특별시강남구압구정로2길,127.0204154,37.51965179,인근좌표
66,2020,서울특별시,강남구,개포2동,948903,선릉로18길,서울특별시강남구선릉로18길,127.0613325,37.48446017,인근좌표
67,2020,서울특별시,강남구,청담동,4437131,선릉로146길,서울특별시강남구선릉로146길,127.0422095,37.52230733,인근좌표
68,2020,서울특별시,강남구,논현2동,5040911,선릉로133길,서울특별시강남구선릉로133길,127.0396899,37.5180836,인근좌표
69,2020,서울특별시,강남구,청담동,6732222,선릉로132길,서울특별시강남구선릉로132길,127.0438014,37.51874708,인근좌표
70,2020,서울특별시,강남구,논현2동,4862277,선릉로121길,서울특별시강남구선릉로121길,127.0398045,37.51385912,인근좌표
71,2020,서울특별시,강남구,대치4동,7344389,삼성로75길,서울특별시강남구삼성로75길,127.0553669,37.50342157,인근좌표
72,2020,서울특별시,강남구,대치4동,6798942,삼성로69길,서울특별시강남구삼성로69길,127.0572305,37.5012363,인근좌표
73,2020,서울특별시,강남구,대치2동,4159716,삼성로64길,서울특별시강남구삼성로64길,127.0625099,37.50033287,인근좌표
74,2020,서울특별시,강남구,대치4동,6205077,삼성로63길,서울특별시강남구삼성로63길,127.0581754,37.50051453,인근좌표
75,2020,서울특별시,강남구,대치1동,5302129,삼성로57길,서울특별시강남구삼성로57길,127.0604077,37.49780195,인근좌표
76,2020,서울특별시,강남구,청담동,4067969,삼성로147길,서울특별시강남구삼성로147길,127.0466671,37.52077836,인근좌표
77,2020,서울특별시,강남구,삼성2동,4100688,삼성로115길,서울특별시강남구삼성로115길,127.0502003,37.51498219,인근좌표
78,2020,서울특별시,강남구,삼성2동,3740055,봉은사로68길,서울특별시강남구봉은사로68길,127.0491883,37.51126027,인근좌표
79,2020,서울특별시,강남구,삼성2동,3728565,봉은사로57길,서울특별시강남구봉은사로57길,127.0444267,37.51307945,인근좌표
80,2020,서울특별시,강남구,논현2동,5811240,봉은사로43길,서울특별시강남구봉은사로43길,127.0393694,37.51104299,인근좌표
81,2020,서울특별시,강남구,논현2동,5964702,봉은사로29길,서울특별시강남구봉은사로29길,127.0339859,37.50915273,인근좌표
82,2020,서울특별시,강남구,삼성1동,1987933,봉은사로109길,서울특별시강남구봉은사로109길,127.0634415,37.51868396,인근좌표
83,2020,서울특별시,강남구,청담동,2805800,도산대로89길,서울특별시강남구도산대로89길,127.0506448,37.52594525,인근좌표
84,2020,서울특별시,강남구,청담동,2810434,도산대로81길,서울특별시강남구도산대로81길,127.0469541,37.52669255,인근좌표
85,2020,서울특별시,강남구,논현2동,4503501,도산대로50길,서울특별시강남구도산대로50길,127.0376152,37.52065985,인근좌표
86,2020,서울특별시,강남구,논현2동,2396360,도산대로38길,서울특별시강남구도산대로38길,127.0327531,37.51883964,인근좌표
87,2020,서울특별시,강남구,논현2동,2652730,도산대로30길,서울특별시강남구도산대로30길,127.029468,37.5187617,인근좌표
88,2020,서울특별시,강남구,신사동,3592229,도산대로23길,서울특별시강남구도산대로23길,127.0258171,37.52055027,인근좌표
89,2020,서울특별시,강남구,신사동,3746472,도산대로15길,서울특별시강남구도산대로15길,127.0237522,37.5206596,인근좌표
90,2020,서울특별시,강남구,역삼2동,5965022,도곡로37길,서울특별시강남구도곡로37길,127.0449833,37.49556768,인근좌표
91,2020,서울특별시,강남구,개포4동,2093256,논현로8길,서울특별시강남구논현로8길,127.0533985,37.47461961,인근좌표
92,2020,서울특별시,강남구,역삼1동,4517934,논현로63길,서울특별시강남구논현로63길,127.0378986,37.49205905,인근좌표
93,2020,서울특별시,강남구,도곡2동,2966246,논현로28길,서울특별시강남구논현로28길,127.0444696,37.48358545,인근좌표
94,2020,서울특별시,강남구,도곡2동,2910501,논현로26길,서울특별시강남구논현로26길,127.0448047,37.48254431,인근좌표
95,2020,서울특별시,강남구,신사동,3528854,논현로159길,서울특별시강남구논현로159길,127.0254515,37.52252247,인근좌표
96,2020,서울특별시,강남구,논현1동,3765334,논현로139길,서울특별시강남구논현로139길,127.0272146,37.51613802,인근좌표
97,2020,서울특별시,강남구,논현1동,4142563,논현로123길,서울특별시강남구논현로123길,127.029421,37.51135535,인근좌표
98,2020,서울특별시,강남구,논현1동,6310002,논현로115길,서울특별시강남구논현로115길,127.0282387,37.50861849,인근좌표
99,2020,서울특별시,강남구,개포4동,3320875,논현로10길,서울특별시강남구논현로10길,127.0498475,37.47444958,인근좌표
100,2020,서울특별시,강남구,역삼1동,4181239,논현로106길,서울특별시강남구논현로106길,127.0362115,37.50611818,인근좌표
101,2020,서울특별시,강남구,도곡1동,4128447,남부순환로365길,서울특별시강남구남부순환로365길,127.0395669,37.48730014,인근좌표
102,2020,서울특별시,강남구,개포2동,657870,개포로82길,서울특별시강남구개포로82길,127.0679117,37.48906763,인근좌표
103,2020,서울특별시,강남구,개포4동,2320336,개포로28길,서울특별시강남구개포로28길,127.0509711,37.47687347,인근좌표
104,2020,서울특별시,강남구,개포4동,3553961,개포로20길,서울특별시강남구개포로20길,127.0475071,37.47697141,인근좌표
