index,gu,dong,size,trade,sizetrade,year
130,성북구,성북동1가,89,68725,989,2019
131,성북구,안암동1가,79,62038,809,2019
132,성북구,안암동3가,67,24376,350,2019
133,성북구,안암동4가,56,17475,308,2019
134,성북구,장위동,75,57623,785,2019
135,성북구,정릉동,76,46705,627,2019
136,성북구,종암동,77,62654,833,2019
137,성북구,하월곡동,80,59718,760,2019
138,송파구,가락동,79,87451,1147,2019
139,송파구,거여동,68,62867,966,2019
140,송파구,마천동,75,61313,832,2019
141,송파구,문정동,93,109014,1191,2019
142,송파구,방이동,98,136893,1385,2019
143,송파구,삼전동,50,47385,956,2019
144,송파구,석촌동,69,76118,1226,2019
145,송파구,송파동,94,106583,1181,2019
146,송파구,신천동,94,150750,1732,2019
147,송파구,오금동,89,91465,1053,2019
148,송파구,잠실동,88,175098,2076,2019
149,송파구,장지동,74,99447,1363,2019
150,송파구,풍납동,76,73501,989,2019
151,강남구,개포동,70,177915,2710,2020
152,강남구,논현동,76,114965,1538,2020
153,강남구,대치동,93,223702,2324,2020
154,강남구,도곡동,108,210576,2011,2020
155,강남구,삼성동,85,158657,1844,2020
156,강남구,세곡동,76,124999,1684,2020
157,강남구,수서동,61,124784,2184,2020
158,강남구,신사동,108,143259,1302,2020
159,강남구,압구정동,119,299837,2571,2020
160,강남구,역삼동,70,129467,1815,2020
161,강남구,율현동,90,128125,1410,2020
162,강남구,일원동,81,171325,2144,2020
163,강남구,자곡동,80,112948,1395,2020
164,강남구,청담동,104,192124,1968,2020
165,강북구,미아동,78,64390,846,2020
166,강북구,번동,69,44538,662,2020
167,강북구,수유동,67,39370,649,2020
168,강북구,우이동,84,43968,529,2020
169,노원구,공릉동,64,47815,750,2020
170,노원구,상계동,59,48027,840,2020
171,노원구,월계동,63,55059,886,2020
172,노원구,중계동,66,58576,873,2020
173,노원구,하계동,66,56191,853,2020
174,도봉구,도봉동,75,43485,577,2020
175,도봉구,방학동,74,41342,561,2020
176,도봉구,쌍문동,66,36601,559,2020
177,도봉구,창동,65,55182,859,2020
178,서초구,내곡동,91,140293,1573,2020
179,서초구,반포동,104,263397,2711,2020
180,서초구,방배동,113,155226,1462,2020
181,서초구,서초동,97,147343,1539,2020
182,서초구,신원동,79,139774,1797,2020
183,서초구,양재동,80,83738,1090,2020
184,서초구,우면동,69,100833,1435,2020
185,서초구,잠원동,82,203024,2537,2020
186,성북구,길음동,77,83853,1111,2020
187,성북구,돈암동,84,69400,860,2020
188,성북구,동선동1가,103,63866,625,2020
189,성북구,동선동3가,110,44000,399,2020
190,성북구,동선동4가,68,55900,817,2020
191,성북구,동소문동4가,71,54029,786,2020
192,성북구,동소문동5가,62,61983,1146,2020
193,성북구,동소문동6가,14,21575,1539,2020
194,성북구,동소문동7가,78,73422,977,2020
195,성북구,보문동2가,81,49500,608,2020
196,성북구,보문동3가,79,82789,1058,2020
197,성북구,보문동4가,97,77220,816,2020
198,성북구,보문동6가,65,84457,1337,2020
199,성북구,삼선동2가,80,75947,976,2020
200,성북구,삼선동3가,87,98188,1155,2020
201,성북구,삼선동4가,80,68984,889,2020
202,성북구,상월곡동,77,57227,780,2020
203,성북구,석관동,77,68990,939,2020
204,성북구,성북동,46,22616,450,2020
205,성북구,성북동1가,100,70625,969,2020
206,성북구,안암동1가,79,75660,991,2020
207,성북구,안암동3가,86,42145,474,2020
208,성북구,안암동4가,59,21760,365,2020
209,성북구,장위동,71,67052,959,2020
210,성북구,정릉동,74,53779,741,2020
211,성북구,종암동,77,74888,993,2020
212,성북구,하월곡동,81,70051,893,2020
213,송파구,가락동,81,108218,1412,2020
214,송파구,거여동,68,78347,1219,2020
215,송파구,마천동,70,72094,1046,2020
216,송파구,문정동,92,123237,1393,2020
217,송파구,방이동,91,140439,1495,2020
218,송파구,삼전동,61,57477,991,2020
219,송파구,석촌동,66,79261,1317,2020
220,송파구,송파동,93,126316,1451,2020
221,송파구,신천동,99,175000,1953,2020
222,송파구,오금동,83,99775,1237,2020
223,송파구,잠실동,87,194692,2354,2020
224,송파구,장지동,73,118473,1657,2020
225,송파구,풍납동,75,96334,1326,2020
