code,caf?_nm,gu_cd,gu,dong_cd,dong,gibun,road,lng,lat,year,bus_cnt,HubName,HubDist
23517515,스타벅스,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 118-3,서울특별시 서초구 사평대로,127.0078261,37.50448036,2018,0,고속터미널역,262.3461547
22934175,스타벅스,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 529-10,서울특별시 강남구 논현로175길,127.0216293,37.52318421,2018,2,신사역,468.307786
20385969,스타벅스,11650,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 70-1,서울특별시 서초구 잠원로,127.006958,37.51024881,2018,4,반포역,482.2761921
23224039,스타벅스,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 52-1,서울특별시 강남구 도산대로,127.0515717,37.52433852,2018,1,청담역,680.1970474
20430267,스타벅스논현힐탑,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 216-5,서울특별시 강남구 논현로,127.032255,37.5115851,2018,2,학동역,304.1307396
20482725,스타벅스,11680,강남구,1168010300,개포동,서울특별시 강남구 개포동 1229-1,서울특별시 강남구 논현로,127.0451163,37.47781003,2018,5,매봉역,1029.502388
20803626,스타벅스삼성도심공항점,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 154-10,서울특별시 강남구 테헤란로87길,127.0579087,37.50981919,2018,0,봉은사역,725.2422852
25292064,스타벅스선정릉역점,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 37-17,서울특별시 강남구 봉은사로,127.0445494,37.51077512,2018,2,선정릉역,26.94691324
20028664,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 87,서울특별시 강남구 논현로,127.0307455,37.51460026,2018,5,학동역,96.47906595
20028264,스타벅스,11350,노원구,1135010600,중계동,서울특별시 노원구 중계동 360-6,서울특별시 노원구 중계로,127.0759774,37.65049809,2018,4,상계역,1192.232862
20248022,스타벅스미아역점,11305,강북구,1130510100,미아동,서울특별시 강북구 미아동 121-19,서울특별시 강북구 도봉로,127.0265575,37.62613312,2018,5,미아역,401.6429862
20028995,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 942-5,서울특별시 강남구 삼성로86길,127.0579257,37.50576457,2018,0,한티역,918.6579844
20286267,스타벅스선릉로점,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 697-45,서울특별시 강남구 선릉로93길,127.046716,37.50495379,2018,0,선릉역,249.6665764
20308953,스타벅스,11290,성북구,1129012500,안암동5가,서울특별시 성북구 안암동5가 104-30,서울특별시 성북구 인촌로24길,127.029689,37.58391819,2018,2,안암역,243.5953831
20307826,스타벅스역삼럭키,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 798-30,서울특별시 강남구 도곡로,127.0393917,37.49222561,2018,2,동오역,856.7836136
20282898,스타벅스,11350,노원구,1135010500,상계동,서울특별시 노원구 상계동 712,서울특별시 노원구 동일로,127.0600017,37.65475991,2018,1,노원역,155.6656953
