year,gu_num,gu,dong,size,trade,sizetrade,average_sizetrade
2020,0,성북구,종암동,53,16600,313.2075472,1005.229062
2020,0,성북구,하월곡동,84,55000,654.7619048,903.5322881
2020,1,송파구,가락동,84,56700,675,1426.878732
2020,1,송파구,거여동,59,105000,1779.661017,1234.586161
2020,1,송파구,마천동,84,79000,940.4761905,1056.9423
2020,1,송파구,문정동,77,96000,1246.753247,1407.326837
2020,1,송파구,방이동,133,105000,789.4736842,1503.348835
2020,1,송파구,삼전동,94,29800,317.0212766,1001.929997
2020,1,송파구,석촌동,60,48000,800,1348.555295
2020,1,송파구,송파동,146,169500,1160.958904,1462.550151
2020,1,송파구,신천동,171,151000,883.0409357,1969.937047
2020,1,송파구,오금동,84,59000,702.3809524,1250.131272
2020,1,송파구,잠실동,152,180000,1184.210526,2379.483057
2020,1,송파구,장지동,97,146000,1505.154639,1677.51148
2020,1,송파구,풍납동,84,75000,892.8571429,1338.296229
