,index,gap
402,210,4581013
403,3,1425329
404,3,10638967
405,3,3451251
406,3,5702012
407,3,2788286
408,3,2293309
409,3,4539815
410,3,3300288
411,6,1425329
412,6,10638967
413,6,3451251
414,6,5702012
415,6,2788286
416,6,2293309
417,6,4539815
418,6,3300288
419,51,1425329
420,51,10638967
421,51,3451251
422,51,5702012
423,51,2788286
424,51,2293309
425,51,4539815
426,51,3300288
427,54,1425329
428,54,10638967
429,54,3451251
430,54,5702012
431,54,2788286
432,54,2293309
433,54,4539815
434,54,3300288
435,99,1425329
436,99,10638967
437,99,3451251
438,99,5702012
439,99,2788286
440,99,2293309
441,99,4539815
442,99,3300288
443,102,1425329
444,102,10638967
445,102,3451251
446,102,5702012
447,102,2788286
448,102,2293309
449,102,4539815
450,102,3300288
451,147,1425329
452,147,10638967
453,147,3451251
454,147,5702012
455,147,2788286
456,147,2293309
457,147,4539815
458,147,3300288
459,150,1425329
460,150,10638967
461,150,3451251
462,150,5702012
463,150,2788286
464,150,2293309
465,150,4539815
466,150,3300288
467,4,5812854
468,4,9787553
469,4,3832525
470,4,8487732
471,9,5812854
472,9,9787553
473,9,3832525
474,9,8487732
475,14,5812854
476,14,9787553
477,14,3832525
478,14,8487732
479,19,5812854
480,19,9787553
481,19,3832525
482,19,8487732
483,54,5702012
484,54,3537164
485,54,3005214
486,54,6613517
487,111,5702012
488,111,3537164
489,111,3005214
490,111,6613517
491,168,5702012
492,168,3537164
493,168,3005214
494,168,6613517
495,225,5702012
496,225,3537164
497,225,3005214
498,225,6613517
499,13,3999803
500,13,6274310
501,13,3849639
502,13,949507
503,13,3916261
504,13,3245872
505,13,4382152
506,13,4581013
507,18,3999803
508,18,6274310
509,18,3849639
510,18,949507
511,18,3916261
512,18,3245872
513,18,4382152
514,18,4581013
515,77,3999803
516,77,6274310
517,77,3849639
518,77,949507
519,77,3916261
520,77,3245872
521,77,4382152
522,77,4581013
523,82,3999803
524,82,6274310
525,82,3849639
526,82,949507
527,82,3916261
528,82,3245872
529,82,4382152
530,82,4581013
531,141,3999803
532,141,6274310
533,141,3849639
534,141,949507
535,141,3916261
536,141,3245872
537,141,4382152
538,141,4581013
539,146,3999803
540,146,6274310
541,146,3849639
542,146,949507
543,146,3916261
544,146,3245872
545,146,4382152
546,146,4581013
547,205,3999803
548,205,6274310
549,205,3849639
550,205,949507
551,205,3916261
552,205,3245872
553,205,4382152
554,205,4581013
555,210,3999803
556,210,6274310
557,210,3849639
