,구,전용면적_median,전용면적_max,전용면적_min,전용면적_mean,거래금액_median,거래금액_max,거래금액_min,거래금액_mean,면적금액_median,면적금액_max,면적금액_min,면적금액_mean,연도
0,강남구,84.46,273.68,12.1,88.01946229764994,172500,670000,15000,180834.2080939948,2146,5471,449,2086.260052219321,2020
1,강동구,81.94,256.36,12.14,73.58116167848677,82500,249000,8000,83827.10094562647,1116,2456,305,1169.8940898345154,2020
2,강북구,84.29,199.96,12.01,74.92533775838328,55900,128000,7500,55941.70877354157,744,1538,171,771.1428571428571,2020
3,강서구,73.845,181.17,13.79,72.41898112525782,65000,162000,7700,67703.28165863731,944,1884,206,964.6724019270475,2020
4,관악구,76.91,183.4,12.21,73.62728694043632,64400,136000,9000,61837.525712171664,859,1653,281,871.094709581946,2020
5,광진구,84.55,226.75,13.27,84.24948572536901,105000,269500,8500,106733.93328161366,1325,2500,342,1291.9356089992243,2020
6,구로구,66.122,171.22,13.23,70.97093461386915,52800,170000,6000,54444.65464933018,745,1750,165,769.8055555555555,2020
7,금천구,59.97,150.72,12.04,66.72438951707862,44900,125000,8000,47037.73557126031,704,1622,203,739.4375736160189,2020
8,노원구,59.24,161.01,12.1072,63.19355381729969,48500,157000,8000,52191.458517210944,814,2126,302,843.9296116504854,2020
9,도봉구,68.86,240.97,13.02,69.41340183606528,42000,140000,6500,45702.54644808743,632,1356,155,675.1471038251366,2020
10,동대문구,81.05,213.674,11.48,73.95428499229624,70000,165000,8500,71194.61201848998,942,2167,352,995.7599383667181,2020
11,동작구,84.78,244.43,12.7071,81.95381290540573,94000,290000,12400,97813.09155405406,1184,2737,315,1230.789864864865,2020
12,마포구,84.42,232.36,12.85,77.42926114649661,96500,240000,13300,101302.33687190375,1318,2560,428,1344.6503892427459,2020
13,서대문구,84.6,242.39,13.03,77.84011692195429,74100,176000,11000,78526.2647702407,997,2337,252,1038.7939460247994,2020
14,서초구,84.92,273.86,17.35,95.64699463855376,170000,550000,15000,175013.14307228915,1755,4378,410,1913.5731927710845,2020
15,성동구,84.42,271.38,12.84,79.55115606708233,108000,670000,12050,114341.00394607037,1418,3950,316,1471.1624465636303,2020
16,성북구,84.09,200.53,14.01,77.68022404220966,69000,149000,11500,68710.92131222757,884,1962,233,914.518238128011,2020
17,송파구,84.79,254.415,14.097,84.763924962179,123000,410000,18000,130310.82645342554,1523,4155,315,1601.2159066349686,2020
18,양천구,78.86,241.51,14.02,78.9434529108114,80000,294500,11450,88982.11270433037,1013,2765,211,1143.3515916260396,2020
19,영등포구,80.92,234.02,12.05,76.19455987186947,83400,324500,9000,89717.09755387303,1138,2694,355,1180.126674432149,2020
20,용산구,84.94,317.36,13.01,97.60563499344745,136000,775000,15000,152195.57929226736,1540,3971,331,1594.0439056356488,2020
21,은평구,84.17,205.96,12.23,78.11871964647946,63000,153000,8510,62435.46276441611,817,1741,247,827.6024340770791,2020
22,종로구,80.85,244.937,12.09,77.4631546365917,74500,321000,8186,80060.83834586466,911,2590,316,1034.71679197995,2020
23,중구,84.88,244.47,14.08,83.48238117073154,90750,304000,8300,92267.56585365854,1110,2079,143,1135.6741463414635,2020
24,중랑구,66.254,203.77,12.0156,68.79136993103398,50000,160000,8300,50919.48620689655,745,1580,276,759.8662068965517,2020
