,구,전용면적_median,전용면적_max,전용면적_min,전용면적_mean,거래금액_median,거래금액_max,거래금액_min,거래금액_mean,면적금액_median,면적금액_max,면적금액_min,면적금액_mean,연도
0,강남구,84.85,272.38,12.94,92.0891814335057,172000,700000,18000,179967.8238341969,2008.0,6970,397,2052.0306563039726,2019
1,강동구,83.52,226.94,12.49,75.0075328307391,70000,187000,8900,73737.80909533074,963.0,4114,300,1007.3497081712062,2019
2,강북구,79.07,159.28,12.99,73.62757020818457,46000,105000,12400,46805.089734386216,634.0,1397,212,665.2569992821249,2019
3,강서구,76.11500000000001,192.22,12.22,72.59056635489053,58450,152000,8000,60390.31373597007,850.0,1605,213,852.6523249599145,2019
4,관악구,70.97014999999999,183.4,12.21,73.10987964409689,55400,91000,10500,53545.407118055555,760.0,1347,250,757.8589409722222,2019
5,광진구,84.72,226.75,13.83,85.30514808935956,89000,260000,6900,92629.05114638447,1123.0,2225,322,1105.822457378013,2019
6,구로구,71.49,199.79,13.23,72.5112622165533,48500,265000,5400,51020.83390022676,688.0,1557,169,707.516723356009,2019
7,금천구,73.63,158.2,12.1,72.72259946666634,40500,110000,6500,43298.342666666664,565.0,1385,163,619.21,2019
8,노원구,59.39,178.33,12.06,64.60404151486114,41500,119000,8500,44402.093959731545,685.0,1595,261,703.6600465689631,2019
9,도봉구,68.86,244.79,13.09,69.81064354243506,37000,95000,9000,40614.37839651124,545.0,1008,245,594.0764844012076,2019
10,동대문구,80.53,170.38,11.9559,71.7021847912889,58000,149000,9750,58425.76769509982,801.0,1906,295,841.1070780399274,2019
11,동작구,84.79,219.51,12.6,82.6093408139983,83500,175000,11900,85305.76302776721,1053.0,2005,284,1066.522632179536,2019
12,마포구,84.3884,232.36,12.85,77.15042562865969,88000,338000,13000,91771.37340682054,1185.0,2252,285,1222.0778504994832,2019
13,서대문구,84.45,244.61,12.08,75.77288153787568,64000,172000,7000,68038.64979063571,890.0,2285,189,922.6376094404263,2019
14,서초구,84.943,272.74,18.53,98.54530828902038,157000,540000,14000,165307.35783547076,1616.0,4337,354,1755.4210197059745,2019
15,성동구,84.417,241.93,12.84,79.02990147103786,89700,570000,12000,96499.32270916335,1208.0,4006,402,1245.3266932270917,2019
16,성북구,84.44,200.53,13.57,78.10326442635869,58000,132000,10500,58499.3470727225,743.0,1834,222,771.3665003938041,2019
17,송파구,84.8,253.59,15.64,85.97792977363078,113000,360000,16000,120140.10281665802,1335.0,3685,394,1440.6599274235355,2019
18,양천구,84.235,238.31,14.02,82.20407915805723,79000,272000,13500,84712.29287190082,921.0,2357,232,1038.1704545454545,2019
19,영등포구,79.43,234.02,10.78,73.99605412728374,69500,366000,9500,76732.69502205419,1001.0,2317,393,1039.3339634530562,2019
20,용산구,84.96,253.24,10.02,102.24208654738287,124500,840000,16500,151887.36514247846,1444.0,3432,367,1463.5520212060967,2019
21,은평구,80.3,170.1,12.07,74.71071108301749,51000,127000,10000,52340.26169405816,722.0,1477,220,729.6354825115887,2019
22,종로구,84.614,244.937,12.01,78.7119402889247,79000,242000,7500,79611.94221508829,957.0,2339,248,1015.9743178170145,2019
23,중구,84.88,273.82,14.08,80.8893939723319,80000,325000,8500,80259.51976284586,1023.5,2001,274,1024.5237154150198,2019
24,중랑구,69.7423,203.77,12.0156,69.85377559523758,44000,122500,8000,44479.23044217687,652.0,1237,263,660.8605442176871,2019
